Pollster,Date,Polled,Model,R,D,Gap,538 Grade,Mean-Reverted Bias,Grade,Adjusted R,Adjusted D,Adjusted Gap
George Washington University (Battleground), 9/25/2008,1000,LV,41,46,-5,B,-0.98,3,40.51,46.49,-5.98
NBC News/Wall Street Journal, 9/22/2008,1085,RV,37,50,-13,A-,0.81,3.7,37.4,49.6,-12.19
Los Angeles Times, 9/22/2008,838,LV,41,51,-10,A-,-0.43,3.7,40.79,51.21,-10.43
CNN/Opinion Research Corp., 9/21/2008,697,LV,42,56,-14,B+,0.06,3.3,42.03,55.97,-13.94
Rasmussen Reports/Pulse Opinion Research, 9/21/2008,7000,LV,38,45,-7,C+,-1.49,2.3,37.26,45.74,-8.49
CBS News/New York Times, 9/16/2008,1004,RV,31,51,-20,A-,0.44,3.7,31.22,50.78,-19.56
Rasmussen Reports/Pulse Opinion Research, 9/14/2008,7000,LV,38,44,-6,C+,-1.49,2.3,37.26,44.74,-7.49
Newsweek, 9/11/2008,1038,RV,41,49,-8,C,0,2,41,49,-8
George Washington University (Battleground), 9/11/2008,1000,LV,40,48,-8,B,-0.98,3,39.51,48.49,-8.98
GfK Group, 9/10/2008,812,LV,41,46,-5,B,0.25,3,41.13,45.87,-4.75
CNN/Opinion Research Corp., 9/7/2008,942,RV,46,49,-3,B+,0.06,3.3,46.03,48.97,-2.94
Gallup, 9/7/2008,823,LV,50,45,5,B,-0.9,3,49.55,45.45,4.1
Rasmussen Reports/Pulse Opinion Research, 9/7/2008,7000,LV,37,45,-8,C+,-1.49,2.3,36.26,45.74,-9.49
Rasmussen Reports/Pulse Opinion Research, 8/31/2008,7000,LV,36,46,-10,C+,-1.49,2.3,35.26,46.74,-11.49
Gallup, 8/23/2008,765,LV,42,51,-9,B,-0.9,3,41.55,51.45,-9.9
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/20/2008,900,RV,38,45,-7,A,0.61,4,38.31,44.69,-6.39
NBC News/Wall Street Journal, 8/18/2008,1005,RV,36,47,-11,A-,0.81,3.7,36.4,46.6,-10.19
George Washington University (Battleground), 8/14/2008,1000,LV,40,47,-7,B,-0.98,3,39.51,47.49,-7.98
Rasmussen Reports/Pulse Opinion Research, 8/10/2008,7000,LV,37,45,-8,C+,-1.49,2.3,36.26,45.74,-9.49
Ipsos, 8/4/2008,833,RV,35,53,-18,B+,0.6,3.3,35.3,52.7,-17.4
Rasmussen Reports/Pulse Opinion Research, 8/3/2008,7000,LV,36,46,-10,C+,-1.49,2.3,35.26,46.74,-11.49
NBC News/Wall Street Journal, 7/21/2008,1003,RV,36,49,-13,A-,0.81,3.7,36.4,48.6,-12.19
Rasmussen Reports/Pulse Opinion Research, 7/20/2008,7000,LV,34,47,-13,C+,-1.49,2.3,33.26,47.74,-14.49
Rasmussen Reports/Pulse Opinion Research, 7/13/2008,7000,LV,36,46,-10,C+,-1.49,2.3,35.26,46.74,-11.49
Pew Research Center, 6/29/2008,1574,RV,37,52,-15,B-,0.63,2.7,37.31,51.69,-14.37
Rasmussen Reports/Pulse Opinion Research, 6/22/2008,7000,LV,34,47,-13,C+,-1.49,2.3,33.26,47.74,-14.49
Gallup, 6/19/2008,1310,LV,42,52,-10,B,-0.9,3,41.55,52.45,-10.9
ABC News/Washington Post, 6/15/2008,1125,A,38,53,-15,A+,0.61,4,38.31,52.69,-14.39
Rasmussen Reports/Pulse Opinion Research, 6/15/2008,7000,LV,34,48,-14,C+,-1.49,2.3,33.26,48.74,-15.49
Rasmussen Reports/Pulse Opinion Research, 6/8/2008,7423,LV,34,47,-13,C+,-1.49,2.3,33.26,47.74,-14.49
Rasmussen Reports/Pulse Opinion Research, 5/22/2008,800,LV,39,47,-8,C+,-1.49,2.3,38.26,47.74,-9.49
George Washington University (Battleground), 5/14/2008,1018,LV,40,49,-9,B,-0.98,3,39.51,49.49,-9.98
Rasmussen Reports/Pulse Opinion Research, 4/29/2008,800,LV,41,46,-5,C+,-1.49,2.3,40.26,46.74,-6.49
CBS News/New York Times, 4/29/2008,956,RV,32,50,-18,A-,0.44,3.7,32.22,49.78,-17.56
NBC News/Wall Street Journal, 4/28/2008,1006,RV,34,49,-15,A-,0.81,3.7,34.4,48.6,-14.19
Gallup, 10/31/2010,1539,LV,55,40,15,B,-0.9,3,54.55,40.45,14.1
Ipsos, 10/31/2010,654,LV,50,44,6,B+,0.6,3.3,50.3,43.7,6.6
Pew Research Center, 10/30/2010,1809,LV,48,42,6,B-,0.63,2.7,48.31,41.69,6.63
Rasmussen Reports/Pulse Opinion Research, 10/31/2010,3500,LV,51,39,12,C+,-1.49,2.3,50.26,39.74,10.51
CNN/Opinion Research Corp., 10/30/2010,542,LV,52,42,10,B+,0.06,3.3,52.03,41.97,10.06
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/28/2010,764,LV,50,37,13,A,0.61,4,50.31,36.69,13.61
ABC News/Washington Post, 10/28/2010,786,LV,49,45,4,A+,0.61,4,49.31,44.69,4.61
Bloomberg, 10/26/2010,1000,LV,47,44,3,C,0,2,47,44,3
Marist College, 10/25/2010,350,LV,49,43,6,A,-0.46,4,48.77,43.23,5.54
Rasmussen Reports/Pulse Opinion Research, 10/24/2010,3500,LV,51,39,12,C+,-1.49,2.3,50.26,39.74,10.51
Gallup, 10/24/2010,1989,LV,55,41,14,B,-0.9,3,54.55,41.45,13.1
Gallup, 10/24/2010,1989,LV,52,43,9,B,-0.9,3,51.55,43.45,8.1
Newsweek, 10/21/2010,773,LV,45,48,-3,C,0,2,45,48,-3
George Washington University (Battleground), 10/20/2010,1000,LV,47,42,5,B,-0.98,3,46.51,42.49,4.02
Pew Research Center, 10/18/2010,1354,LV,50,40,10,B-,0.63,2.7,50.31,39.69,10.63
GfK Group, 10/18/2010,846,LV,50,43,7,B,0.25,3,50.13,42.87,7.25
Rasmussen Reports/Pulse Opinion Research, 10/17/2010,3500,LV,48,39,9,C+,-1.49,2.3,47.26,39.74,7.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/13/2010,687,LV,48,39,9,A,0.61,4,48.31,38.69,9.61
Gallup, 10/17/2010,1900,LV,56,39,17,B,-0.9,3,55.55,39.45,16.1
Gallup, 10/17/2010,1900,LV,53,42,11,B,-0.9,3,52.55,42.45,10.1
Ipsos, 10/11/2010,720,LV,48,44,4,B+,0.6,3.3,48.3,43.7,4.6
Bloomberg, 10/10/2010,721,LV,40,42,-2,C,0,2,40,42,-2
Rasmussen Reports/Pulse Opinion Research, 10/10/2010,3500,LV,47,39,8,C+,-1.49,2.3,46.26,39.74,6.51
Gallup, 10/10/2010,1953,LV,56,39,17,B,-0.9,3,55.55,39.45,16.1
Gallup, 10/10/2010,1953,LV,53,41,12,B,-0.9,3,52.55,41.45,11.1
CNN/Opinion Research Corp., 10/7/2010,504,LV,52,45,7,B+,0.06,3.3,52.03,44.97,7.06
ABC News/Washington Post, 10/3/2010,669,LV,49,43,6,A+,0.61,4,49.31,42.69,6.61
Rasmussen Reports/Pulse Opinion Research, 10/3/2010,3500,LV,45,42,3,C+,-1.49,2.3,44.26,42.74,1.51
Gallup, 10/3/2010,1882,LV,53,40,13,B,-0.9,3,52.55,40.45,12.1
Gallup, 10/3/2010,1882,LV,56,38,18,B,-0.9,3,55.55,38.45,17.1
Newsweek, 9/30/2010,902,RV,43,48,-5,C,0,2,43,48,-5
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/29/2010,900,RV,44,38,6,A,0.61,4,44.31,37.69,6.61
Gallup, 9/26/2010,3000,RV,46,46,0,B,-0.9,3,45.55,46.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 9/26/2010,3500,LV,46,40,6,C+,-1.49,2.3,45.26,40.74,4.51
CNN/Opinion Research Corp., 9/23/2010,506,LV,53,44,9,B+,0.06,3.3,53.03,43.97,9.06
George Washington University (Battleground), 9/22/2010,1000,LV,47,42,5,B,-0.98,3,46.51,42.49,4.02
Ipsos, 9/19/2010,993,RV,45,46,-1,B+,0.6,3.3,45.3,45.7,-0.4
Rasmussen Reports/Pulse Opinion Research, 9/19/2010,3500,LV,48,38,10,C+,-1.49,2.3,47.26,38.74,8.51
Gallup, 9/19/2010,2925,RV,45,46,-1,B,-0.9,3,44.55,46.45,-1.9
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/16/2010,900,RV,46,40,6,A,0.61,4,46.31,39.69,6.61
Marist College, 9/16/2010,815,RV,47,45,2,A,-0.46,4,46.77,45.23,1.54
George Washington University (Battleground), 9/9/2010,1000,LV,43,43,0,B,-0.98,3,42.51,43.49,-0.98
Gallup, 9/12/2010,1527,RV,48,43,5,B,-0.9,3,47.55,43.45,4.1
Rasmussen Reports/Pulse Opinion Research, 9/12/2010,3500,LV,47,38,9,C+,-1.49,2.3,46.26,38.74,7.51
Quinnipiac University, 9/7/2010,1905,RV,42,37,5,A-,0.07,3.7,42.03,36.97,5.07
Pew Research Center, 9/6/2010,2053,LV,50,43,7,B-,0.63,2.7,50.31,42.69,7.63
CNN/Opinion Research Corp., 9/2/2010,936,RV,52,45,7,B+,0.06,3.3,52.03,44.97,7.06
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/2/2010,900,RV,46,37,9,A,0.61,4,46.31,36.69,9.61
Gallup, 9/5/2010,1651,RV,46,46,0,B,-0.9,3,45.55,46.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 9/5/2010,3500,LV,48,36,12,C+,-1.49,2.3,47.26,36.74,10.51
Gallup, 8/30/2010,928,RV,49,43,6,B,-0.9,3,48.55,43.45,5.1
National Journal, 8/30/2010,1116,RV,36,38,-2,A,-0.18,4,35.91,38.09,-2.18
Rasmussen Reports/Pulse Opinion Research, 8/29/2010,3500,LV,45,39,6,C+,-1.49,2.3,44.26,39.74,4.51
Gallup, 8/29/2010,1540,RV,51,41,10,B,-0.9,3,50.55,41.45,9.1
Newsweek, 8/26/2010,856,RV,45,45,0,C,0,2,45,45,0
Ipsos, 8/22/2010,950,RV,46,45,1,B+,0.6,3.3,46.3,44.7,1.6
Gallup, 8/22/2010,1600,RV,47,44,3,B,-0.9,3,46.55,44.45,2.1
Rasmussen Reports/Pulse Opinion Research, 8/22/2010,3500,LV,47,38,9,C+,-1.49,2.3,46.26,38.74,7.51
Time, 8/17/2010,827,LV,43,37,6,C,0,2,43,37,6
GfK Group, 8/16/2010,890,RV,49,45,4,B,0.25,3,49.13,44.87,4.25
Gallup, 8/15/2010,1600,RV,50,43,7,B,-0.9,3,49.55,43.45,6.1
Rasmussen Reports/Pulse Opinion Research, 8/15/2010,3500,LV,48,36,12,C+,-1.49,2.3,47.26,36.74,10.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/11/2010,900,RV,44,37,7,A,0.61,4,44.31,36.69,7.61
CNN/Opinion Research Corp., 8/10/2010,935,RV,48,45,3,B+,0.06,3.3,48.03,44.97,3.06
Rasmussen Reports/Pulse Opinion Research, 8/8/2010,3500,LV,46,39,7,C+,-1.49,2.3,45.26,39.74,5.51
Gallup, 8/8/2010,1600,RV,49,43,6,B,-0.9,3,48.55,43.45,5.1
Pew Research Center, 8/5/2010,2431,RV,44,45,-1,B-,0.63,2.7,44.31,44.69,-0.37
Gallup, 8/1/2010,1562,RV,48,43,5,B,-0.9,3,47.55,43.45,4.1
Rasmussen Reports/Pulse Opinion Research, 8/1/2010,3500,LV,46,38,8,C+,-1.49,2.3,45.26,38.74,6.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 7/28/2010,900,RV,47,36,11,A,0.61,4,47.31,35.69,11.61
Ipsos, 7/25/2010,848,RV,46,44,2,B+,0.6,3.3,46.3,43.7,2.6
Gallup, 7/25/2010,1633,RV,44,48,-4,B,-0.9,3,43.55,48.45,-4.9
Rasmussen Reports/Pulse Opinion Research, 7/25/2010,3500,LV,46,36,10,C+,-1.49,2.3,45.26,36.74,8.51
CNN/Opinion Research Corp., 7/21/2010,945,RV,49,44,5,B+,0.06,3.3,49.03,43.97,5.06
Quinnipiac University, 7/19/2010,2181,RV,43,38,5,A-,0.07,3.7,43.03,37.97,5.07
Gallup, 7/18/2010,1535,RV,43,49,-6,B,-0.9,3,42.55,49.45,-6.9
Rasmussen Reports/Pulse Opinion Research, 7/18/2010,3500,LV,45,36,9,C+,-1.49,2.3,44.26,36.74,7.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 7/14/2010,900,RV,41,37,4,A,0.61,4,41.31,36.69,4.61
Time, 7/13/2010,1003,A,42,43,-1,C,0,2,42,43,-1
Bloomberg, 7/12/2010,875,LV,48,40,8,C,0,2,48,40,8
ABC News/Washington Post, 7/11/2010,#VALUE!,#VALUE!,49,45,4,A+,0.61,4,49.31,44.69,4.61
Gallup, 7/11/2010,1600,RV,46,47,-1,B,-0.9,3,45.55,47.45,-1.9
Rasmussen Reports/Pulse Opinion Research, 7/11/2010,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Gallup, 7/3/2010,1600,RV,46,44,2,B,-0.9,3,45.55,44.45,1.1
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/30/2010,900,RV,42,40,2,A,0.61,4,42.31,39.69,2.61
Rasmussen Reports/Pulse Opinion Research, 6/27/2010,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Gallup, 6/27/2010,1600,RV,45,46,-1,B,-0.9,3,44.55,46.45,-1.9
Pew Research Center, 6/20/2010,1496,RV,45,45,0,B-,0.63,2.7,45.31,44.69,0.63
Gallup, 6/20/2010,1600,RV,46,46,0,B,-0.9,3,45.55,46.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 6/20/2010,3500,LV,44,36,8,C+,-1.49,2.3,43.26,36.74,6.51
Gallup, 6/13/2010,1014,A,43,48,-5,B,-0.9,3,42.55,48.45,-5.9
Ipsos, 6/13/2010,846,RV,43,42,1,B+,0.6,3.3,43.3,41.7,1.6
Gallup, 6/13/2010,1600,RV,49,44,5,B,-0.9,3,48.55,44.45,4.1
Rasmussen Reports/Pulse Opinion Research, 6/13/2010,3500,LV,46,36,10,C+,-1.49,2.3,45.26,36.74,8.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/9/2010,900,RV,38,41,-3,A,0.61,4,38.31,40.69,-2.39
Gallup, 6/6/2010,1600,RV,46,46,0,B,-0.9,3,45.55,46.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 6/6/2010,3500,LV,44,35,9,C+,-1.49,2.3,43.26,35.74,7.51
Gallup, 5/30/2010,1600,RV,49,43,6,B,-0.9,3,48.55,43.45,5.1
Rasmussen Reports/Pulse Opinion Research, 5/30/2010,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
Quinnipiac University, 5/24/2010,1914,RV,36,42,-6,A-,0.07,3.7,36.03,41.97,-5.93
Rasmussen Reports/Pulse Opinion Research, 5/23/2010,3500,LV,44,36,8,C+,-1.49,2.3,43.26,36.74,6.51
Gallup, 5/23/2010,1600,RV,46,47,-1,B,-0.9,3,45.55,47.45,-1.9
Fox News/Anderson Robbins Research/Shaw & Co. Research, 5/19/2010,900,RV,41,41,0,A,0.61,4,41.31,40.69,0.61
Gallup, 5/16/2010,1600,RV,46,45,1,B,-0.9,3,45.55,45.45,0.1
Rasmussen Reports/Pulse Opinion Research, 5/16/2010,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Ipsos, 5/9/2010,905,RV,42,45,-3,B+,0.6,3.3,42.3,44.7,-2.4
Gallup, 5/8/2010,1600,RV,46,46,0,B,-0.9,3,45.55,46.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 5/8/2010,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 5/5/2010,900,RV,42,40,2,A,0.61,4,42.31,39.69,2.61
Gallup, 5/2/2010,1600,RV,45,45,0,B,-0.9,3,44.55,45.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 5/2/2010,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
National Journal, 4/26/2010,1200,A,35,39,-4,A,-0.18,4,34.91,39.09,-4.18
Gallup, 4/25/2010,1600,RV,45,45,0,B,-0.9,3,44.55,45.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 4/25/2010,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 4/21/2010,900,RV,42,38,4,A,0.61,4,42.31,37.69,4.61
Gallup, 4/18/2010,1600,RV,46,43,3,B,-0.9,3,45.55,43.45,2.1
Rasmussen Reports/Pulse Opinion Research, 4/18/2010,3500,LV,46,36,10,C+,-1.49,2.3,45.26,36.74,8.51
CNN/Opinion Research Corp., 4/11/2010,907,RV,46,50,-4,B+,0.06,3.3,46.03,49.97,-3.94
Gallup, 4/11/2010,1613,RV,48,44,4,B,-0.9,3,47.55,44.45,3.1
Rasmussen Reports/Pulse Opinion Research, 4/11/2010,3500,LV,45,36,9,C+,-1.49,2.3,44.26,36.74,7.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 4/7/2010,900,RV,43,39,4,A,0.61,4,43.31,38.69,4.61
George Washington University (Battleground), 4/8/2010,1000,LV,41,40,1,B,-0.98,3,40.51,40.49,0.02
Ipsos, 4/5/2010,950,RV,46,45,1,B+,0.6,3.3,46.3,44.7,1.6
Gallup, 4/4/2010,1344,RV,46,46,0,B,-0.9,3,45.55,46.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 4/4/2010,3500,LV,47,38,9,C+,-1.49,2.3,46.26,38.74,7.51
Gallup, 3/28/2010,968,RV,46,45,1,B,-0.9,3,45.55,45.45,0.1
CNN/Opinion Research Corp., 3/28/2010,935,RV,49,45,4,B+,0.06,3.3,49.03,44.97,4.06
Rasmussen Reports/Pulse Opinion Research, 3/28/2010,3500,LV,46,39,7,C+,-1.49,2.3,45.26,39.74,5.51
CNN/Opinion Research Corp., 3/21/2010,953,RV,48,45,3,B+,0.06,3.3,48.03,44.97,3.06
Quinnipiac University, 3/21/2010,1907,RV,44,39,5,A-,0.07,3.7,44.03,38.97,5.07
Rasmussen Reports/Pulse Opinion Research, 3/21/2010,3500,LV,43,35,8,C+,-1.49,2.3,42.26,35.74,6.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/17/2010,900,RV,42,38,4,A,0.61,4,42.31,37.69,4.61
Rasmussen Reports/Pulse Opinion Research, 3/14/2010,3500,LV,45,35,10,C+,-1.49,2.3,44.26,35.74,8.51
Rasmussen Reports/Pulse Opinion Research, 3/7/2010,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
Ipsos, 2/28/2010,950,RV,43,47,-4,B+,0.6,3.3,43.3,46.7,-3.4
Rasmussen Reports/Pulse Opinion Research, 2/28/2010,3500,LV,44,36,8,C+,-1.49,2.3,43.26,36.74,6.51
Rasmussen Reports/Pulse Opinion Research, 2/21/2010,3500,LV,44,35,9,C+,-1.49,2.3,43.26,35.74,7.51
Newsweek, 2/18/2010,908,RV,43,45,-2,C,0,2,43,45,-2
CNN/Opinion Research Corp., 2/15/2010,954,RV,47,45,2,B+,0.06,3.3,47.03,44.97,2.06
Rasmussen Reports/Pulse Opinion Research, 2/14/2010,3500,LV,45,36,9,C+,-1.49,2.3,44.26,36.74,7.51
Pew Research Center, 2/9/2010,1129,RV,42,45,-3,B-,0.63,2.7,42.31,44.69,-2.37
Rasmussen Reports/Pulse Opinion Research, 2/7/2010,3500,LV,44,36,8,C+,-1.49,2.3,43.26,36.74,6.51
Gallup, 2/3/2010,942,RV,45,45,0,B,-0.9,3,44.55,45.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 1/31/2010,3500,LV,45,38,7,C+,-1.49,2.3,44.26,38.74,5.51
NPR, 1/23/2010,800,LV,44,39,5,B-,0.09,2.7,44.04,38.96,5.09
Rasmussen Reports/Pulse Opinion Research, 1/24/2010,3500,LV,46,37,9,C+,-1.49,2.3,45.26,37.74,7.51
Rasmussen Reports/Pulse Opinion Research, 1/17/2010,3500,LV,45,37,8,C+,-1.49,2.3,44.26,37.74,6.51
CNN/Opinion Research Corp., 1/10/2010,955,RV,48,45,3,B+,0.06,3.3,48.03,44.97,3.06
Pew Research Center, 1/10/2010,1214,RV,44,46,-2,B-,0.63,2.7,44.31,45.69,-1.37
Rasmussen Reports/Pulse Opinion Research, 1/10/2010,3500,LV,45,36,9,C+,-1.49,2.3,44.26,36.74,7.51
Rasmussen Reports/Pulse Opinion Research, 1/3/2010,4000,LV,44,35,9,C+,-1.49,2.3,43.26,35.74,7.51
Rasmussen Reports/Pulse Opinion Research, 12/27/2010,2500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 12/20/2010,3500,LV,44,36,8,C+,-1.49,2.3,43.26,36.74,6.51
Gallup, 12/13/2010,898,RV,45,48,-3,B,-0.9,3,44.55,48.45,-3.9
Rasmussen Reports/Pulse Opinion Research, 12/13/2010,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
George Washington University (Battleground), 12/10/2010,1000,LV,42,41,1,B,-0.98,3,41.51,41.49,0.02
Bloomberg, 12/7/2010,714,LV,42,38,4,C,0,2,42,38,4
Rasmussen Reports/Pulse Opinion Research, 12/6/2010,3500,LV,43,39,4,C+,-1.49,2.3,42.26,39.74,2.51
Rasmussen Reports/Pulse Opinion Research, 11/29/2010,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
Rasmussen Reports/Pulse Opinion Research, 11/22/2010,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
CNN/Opinion Research Corp., 11/15/2010,928,RV,43,49,-6,B+,0.06,3.3,43.03,48.97,-5.94
Rasmussen Reports/Pulse Opinion Research, 11/15/2010,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Gallup, 11/8/2010,894,RV,48,44,4,B,-0.9,3,47.55,44.45,3.1
Rasmussen Reports/Pulse Opinion Research, 11/8/2010,3500,LV,43,37,6,C+,-1.49,2.3,42.26,37.74,4.51
Pew Research Center, 11/8/2010,1644,RV,42,47,-5,B-,0.63,2.7,42.31,46.69,-4.37
CNN/Opinion Research Corp., 11/1/2010,952,RV,44,50,-6,B+,0.06,3.3,44.03,49.97,-5.94
Ipsos, 11/1/2010,950,RV,45,46,-1,B+,0.6,3.3,45.3,45.7,-0.4
Rasmussen Reports/Pulse Opinion Research, 11/1/2010,3500,LV,42,38,4,C+,-1.49,2.3,41.26,38.74,2.51
Rasmussen Reports/Pulse Opinion Research, 10/25/2010,3500,LV,42,38,4,C+,-1.49,2.3,41.26,38.74,2.51
ABC News/Washington Post, 10/18/2010,1004,A,39,51,-12,A+,0.61,4,39.31,50.69,-11.39
Rasmussen Reports/Pulse Opinion Research, 10/18/2010,3500,LV,42,37,5,C+,-1.49,2.3,41.26,37.74,3.51
Rasmussen Reports/Pulse Opinion Research, 10/11/2010,3500,LV,41,39,2,C+,-1.49,2.3,40.26,39.74,0.51
Gallup, 10/4/2010,906,RV,44,46,-2,B,-0.9,3,43.55,46.45,-2.9
Rasmussen Reports/Pulse Opinion Research, 10/4/2010,3500,LV,43,39,4,C+,-1.49,2.3,42.26,39.74,2.51
Rasmussen Reports/Pulse Opinion Research, 9/27/2010,3500,LV,42,40,2,C+,-1.49,2.3,41.26,40.74,0.51
Rasmussen Reports/Pulse Opinion Research, 9/20/2010,3500,LV,42,38,4,C+,-1.49,2.3,41.26,38.74,2.51
Bloomberg, 9/14/2010,1004,A,32,40,-8,C,0,2,32,40,-8
Rasmussen Reports/Pulse Opinion Research, 9/13/2010,3500,LV,41,40,1,C+,-1.49,2.3,40.26,40.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 9/6/2010,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
Ipsos, 8/31/2010,903,RV,34,42,-8,B+,0.6,3.3,34.3,41.7,-7.4
Rasmussen Reports/Pulse Opinion Research, 8/30/2010,3500,LV,43,36,7,C+,-1.49,2.3,42.26,36.74,5.51
Pew Research Center, 8/27/2010,1669,RV,44,45,-1,B-,0.63,2.7,44.31,44.69,-0.37
Rasmussen Reports/Pulse Opinion Research, 8/23/2010,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 8/16/2010,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 8/9/2010,3500,LV,42,38,4,C+,-1.49,2.3,41.26,38.74,2.51
Rasmussen Reports/Pulse Opinion Research, 8/2/2010,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
NPR, 7/26/2010,850,LV,43,42,1,B-,0.09,2.7,43.04,41.96,1.09
Rasmussen Reports/Pulse Opinion Research, 7/26/2010,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
George Washington University (Battleground), 7/23/2010,1000,LV,40,43,-3,B,-0.98,3,39.51,43.49,-3.98
Rasmussen Reports/Pulse Opinion Research, 7/19/2010,3500,LV,42,38,4,C+,-1.49,2.3,41.26,38.74,2.51
Gallup, 7/12/2010,916,RV,44,50,-6,B,-0.9,3,43.55,50.45,-6.9
Rasmussen Reports/Pulse Opinion Research, 7/14/2010,3500,LV,40,37,3,C+,-1.49,2.3,39.26,37.74,1.51
Diageo/Hotline, 7/13/2010,800,RV,32,39,-7,C,0,2,32,39,-7
Rasmussen Reports/Pulse Opinion Research, 7/5/2010,3500,LV,41,38,3,C+,-1.49,2.3,40.26,38.74,1.51
Quinnipiac University, 6/29/2010,3063,RV,34,42,-8,A-,0.07,3.7,34.03,41.97,-7.93
