State,CD,Name,Incumbent,Party,Dem16,GOP16,Dem12,GOP12,Dem08,GOP08
CA,42,CA42,"Calvert, Ken",(R),41.4,53.4,41.4,56.5,43,54
CA,43,CA43,"Waters, Maxine",(D),78.4,16.7,78,20,75,22
CA,44,CA44,"Barragan, Nanette",(D),83,12.3,84.7,13.6,81,16
CA,45,CA45,"Walters, Mimi",(R),49.8,44.4,43,54.8,46,51
CA,46,CA46,"Correa, Lou",(D),66.3,27.9,61.4,36.2,58,39
CA,47,CA47,"Lowenthal, Alan",(D),62.6,31,60,37.5,58,39
CA,48,CA48,"Rohrabacher, Dana",(R),47.9,46.2,43,54.7,46,51
CA,49,CA49,"Issa, Darrell",(R),50.7,43.2,45.7,52.2,49,48
CA,50,CA50,"Hunter, Duncan",(R),39.6,54.6,37.6,60.4,39,58
CA,51,CA51,"Vargas, Juan",(D),71.8,22.8,69.4,28.9,65,32
CA,52,CA52,"Peters, Scott",(D),58.1,35.6,52.1,45.7,55,43
CA,53,CA53,"Davis, Susan",(D),64.5,29.6,61.4,36.4,61,36
CO,1,CO01,"DeGette, Diana",(D),69,23.2,69,28.8,70.9,27.6
CO,2,CO02,"Polis, Jared",(D),56.2,34.9,57.9,39.5,61.2,37.2
CO,3,CO03,"Tipton, Scott",(R),40,52,45.8,51.8,48.4,49.9
CO,4,CO04,"Buck, Ken",(R),34.3,57.4,39.2,58.5,41.9,56.4
CO,5,CO05,"Lamborn, Doug",(R),33.2,57.2,38.3,59.1,39.7,58.8
CO,6,CO06,"Coffman, Mike",(R),50.2,41.3,51.6,46.5,53.6,44.9
CO,7,CO07,"Perlmutter, Ed",(D),51.4,39.4,56.1,41.3,57.4,40.7
CT,1,CT01,"Larson, John",(D),59.4,36.3,63.3,35.6,65.8,32.9
CT,2,CT02,"Courtney, Joe",(D),48.7,45.8,55.9,42.6,58.6,40
CT,3,CT03,"DeLauro, Rosa",(D),55.9,40.4,62.6,36.3,62.6,36.2
CT,4,CT04,"Himes, Jim",(D),59.6,36.6,55.1,44,59.6,39.7
CT,5,CT05,"Esty, Elizabeth",(D),49.9,45.8,53.5,45.3,56.4,42.4
DE,1,DE01,"Blunt Rochester, Lisa",(D),53.4,41.9,58.6,40,61.9,36.9
FL,1,FL01,"Gaetz, Matt",(R),28.2,67.5,30.1,68.5,32,66.8
FL,2,FL02,"Dunn, Neal",(R),30.6,66.2,34,64.6,35.2,63.4
FL,3,FL03,"Yoho, Ted",(R),40.2,56.2,41.9,56.6,44.2,54.6
FL,4,FL04,"Rutherford, John",(R),34.1,62.1,32.8,66.1,34.8,64.2
FL,5,FL05,"Lawson, Al",(D),61.3,35.9,63.6,35.4,63.2,35.9
FL,6,FL06,"DeSantis, Ron",(R),39.9,56.9,46.6,52.2,50.1,48.7
FL,7,FL07,"Murphy, Stephanie",(D),51.4,44.1,49.4,49.4,51.1,48
FL,8,FL08,"Posey, Bill",(R),37.7,58.4,42.1,56.6,43.8,54.9
FL,9,FL09,"Soto, Darren",(D),54.8,41.9,55.6,43.4,54.6,44.5
FL,10,FL10,"Demings, Val",(D),61.8,34.9,60.7,38.4,60.9,38.5
FL,11,FL11,"Webster, Dan",(R),32.5,64.8,39.8,59.2,42.6,56.1
FL,12,FL12,"Bilirakis, Gus",(R),38.8,57.4,45.5,53,47.4,51.2
FL,13,FL13,"Crist, Charlie",(D),49.6,46.4,54.6,43.9,55.5,43
FL,14,FL14,"Castor, Kathy",(D),57.2,39,57.6,41.2,58.1,40.9
FL,15,FL15,"Ross, Dennis",(R),43.1,53.1,46.6,52.2,46.7,52.1
FL,16,FL16,"Buchanan, Vern",(R),43,53.7,45.1,53.7,47.7,51.2
FL,17,FL17,"Rooney, Tom",(R),35,62.2,41.3,57.6,43.9,54.7
FL,18,FL18,"Mast, Brian",(R),44.1,53.3,47.7,51.4,51.2,47.9
FL,19,FL19,"Rooney, Francis",(R),37.5,59.6,38.7,60.5,42.3,56.8
FL,20,FL20,"Hastings, Alcee",(D),80.2,18.1,82.5,17.1,80.9,18.6
FL,21,FL21,"Frankel, Lois",(D),58.6,39.1,60.4,38.9,63.4,35.9
FL,22,FL22,"Deutch, Ted",(D),56.8,41,56.3,43,58.3,41
FL,23,FL23,"Wasserman Schultz, Debbie",(D),61.9,35.8,61.4,38,62,37.3
FL,24,FL24,"Wilson, Frederica",(D),82.9,15.4,85.7,13.9,84,15.6
FL,25,FL25,"Diaz-Balart, Mario",(R),47.9,49.7,44.9,54.5,40.6,58.8
FL,26,FL26,"Curbelo, Carlos",(R),56.8,40.5,55.4,43.9,51.5,47.9
FL,27,FL27,"Ros-Lehtinen, Ileana",(R),58.5,38.9,53,46.3,50.1,49.3
GA,1,GA01,"Carter, Buddy",(R),40.9,56.4,43,55.9,44.4,55
GA,2,GA02,"Bishop, Sanford",(D),55,43.3,58.6,40.8,57.9,41.6
GA,3,GA03,"Ferguson, Drew",(R),32.8,64.3,33,65.9,34,65.3
GA,4,GA04,"Johnson, Hank",(D),75.3,22.2,73.6,25.6,73.2,26.3
GA,5,GA05,"Lewis, John",(D),85,11.9,83.1,15.8,84.4,15
GA,6,GA06,"Handel, Karen",(R),46.8,48.3,37.5,60.8,40.1,59
GA,7,GA07,"Woodall, Rob",(R),44.8,51.1,38.3,60.2,39.1,60.1
GA,8,GA08,"Scott, Austin",(R),34.4,63.3,37.5,61.6,37.8,61.6
GA,9,GA09,"Collins, Doug",(R),19.3,77.8,20.5,78.1,24.3,74.7
GA,10,GA10,"Hice, Jodi",(R),35.8,61.3,36.3,62.5,38.8,60.4
GA,11,GA11,"Loudermilk, Barry",(R),35.3,60.3,31.5,66.9,34.7,64.3
GA,12,GA12,"Allen, Rick",(R),40.7,56.9,43.6,55.4,43.9,55.6
GA,13,GA13,"Scott, David",(D),71,26.6,69.2,30,67.1,32.3
GA,14,GA14,"Graves, Tom",(R),22.1,75,25.3,73.2,27.8,71
HI,1,HI01,"Hanabusa, Colleen",(D),63.1,30.5,69.7,29,70.3,28.3
HI,2,HI02,"Gabbard, Tulsi",(D),61.4,29.6,71.4,26.7,73.4,24.9
IA,1,IA01,"Blum, Rod",(R),45.2,48.7,56.2,42.5,58.5,40.4
IA,2,IA02,"Loebsack, David",(D),45,49.1,55.8,42.7,57.1,41.6
IA,3,IA03,"Young, David",(R),45,48.5,51.4,47.2,52.4,46.3
IA,4,IA04,"King, Steve",(R),33.5,60.9,45.3,53.4,48.5,50.2
ID,1,ID01,"Labrador, Raul",(R),25.4,63.7,32.2,64.9,35.1,62.5
ID,2,ID02,"Simpson, Mike",(R),29.8,54.5,33.1,64.1,37.1,60.5
IL,1,IL01,"Rush, Bobby",(D),75.4,21.4,78.9,20.2,80.8,18.5
IL,2,IL02,"Kelly, Robin",(D),78,19.1,80.7,18.5,81.1,18.2
IL,3,IL03,"Lipinski, Dan",(D),55.2,39.9,55.9,42.6,58.3,40.4
IL,4,IL04,"Gutierrez, Luis",(D),82.1,13.2,80.9,17.1,80.5,18.2
IL,5,IL05,"Quigley, Mike",(D),70.5,23.9,66,31.8,69.9,28.8
IL,6,IL06,"Roskam, Peter",(R),50.2,43.2,45.1,53.3,51.3,47.3
IL,7,IL07,"Davis, Danny",(D),87.4,9.2,87.2,11.8,89.4,9.9
IL,8,IL08,"Krishnamoorthi, Raja",(D),58.1,36.4,57.4,40.9,61.5,37.1
IL,9,IL09,"Schakowsky, Jan",(D),70.1,24.9,65,33.3,68.6,30.3
IL,10,IL10,"Schneider, Brad",(D),62,32.6,57.5,41.1,63,35.9
IL,11,IL11,"Foster, Bill",(D),58.9,35.4,57.8,40.6,61.3,37.5
IL,12,IL12,"Bost, Mike",(R),40.2,55,49.7,48.1,54.7,43.6
IL,13,IL13,"Davis, Rodney",(R),44.2,49.7,48.6,48.9,54.6,43.6
IL,14,IL14,"Hultgren, Randy",(R),44.8,48.7,44.2,54.2,50.7,48
IL,15,IL15,"Shimkus, John",(R),24.5,70.7,34.1,63.9,42.8,55.4
IL,16,IL16,"Kinzinger, Adam",(R),38.3,55.5,45.2,52.9,50,48.2
IL,17,IL17,"Bustos, Cheri",(D),46.7,47.4,57.6,40.6,60,38.5
IL,18,IL18,"LaHood, Darin",(R),33.3,60.6,37.4,60.7,44.1,54.4
IN,1,IN01,"Visclosky, Pete",(D),54.1,41.5,61.2,37.4,63.3,35.8
IN,2,IN02,"Walorski, Jackie",(R),36.1,59.3,42.1,56.1,49.6,49.3
IN,3,IN03,"Banks, Jim",(R),30.1,65.1,35.7,62.5,43,56
IN,4,IN04,"Rokita, Todd",(R),30.2,64.3,36.9,60.9,44.6,54.2
IN,5,IN05,"Brooks, Susan",(R),41.3,53.1,40.7,57.5,46.6,52.6
IN,6,IN06,"Messer, Luke",(R),27.4,67.7,37.3,60.4,43.6,55
IN,7,IN07,"Carson, Andre",(D),59,36.2,62.9,35.3,66.3,32.8
IN,8,IN08,"Bucshon, Larry",(R),30.9,64.6,39.6,58.4,48.1,50.6
IN,9,IN09,"Hollingsworth, Trey",(R),34.2,61.1,40.7,57.2,46.2,52.7
KS,1,KS01,"Marshall, Roger",(R),24.3,69.3,27.6,70.1,31,67.2
KS,2,KS02,"Jenkins, Lynn",(R),37.4,55.8,42.2,55.4,45.3,52.8
KS,3,KS03,"Yoder, Kevin",(R),47.2,46,44.3,53.8,48.8,49.9
KS,4,KS04,"Estes, Ron",(R),33,60.2,36.1,61.6,39.5,58.6
KY,1,KY01,"Comer, James",(R),23.9,72.4,32.1,66.4,36.9,61.6
KY,2,KY02,"Guthrie, Brett",(R),27.6,67.5,35.1,63.3,37.2,61.5
KY,3,KY03,"Yarmuth, John",(D),54.9,39.9,55.7,42.8,56.2,42.8
KY,4,KY04,"Massie, Thomas",(R),29.3,65.2,34.8,63.4,37,61.5
KY,5,KY05,"Rogers, Hal",(R),17.5,79.6,23.2,75,31.6,66.6
KY,6,KY06,"Barr, Andy",(R),39.4,54.7,42.2,55.8,44.8,53.7
LA,1,LA01,"Scalise, Steve",(R),26.7,68.7,26.9,70.9,25.3,72.7
LA,2,LA02,"Richmond, Cedric",(D),74.6,22.2,75.8,22.8,73.4,25.4
LA,3,LA03,"Higgins, Clay",(R),29.2,67.3,32.3,66.1,34.1,64.2
LA,4,LA04,"Johnson, Mike",(R),36.6,60.6,39.7,59,39.9,58.9
LA,5,LA05,"Abraham, Ralph",(R),34.1,63.5,37.7,61,36.7,62
LA,6,LA06,"Graves, Garret",(R),31,64.8,32,66.1,30.9,67.5
MA,1,MA01,"Neal, Richard",(D),57.2,36.5,64,34.3,64.1,33.7
MA,2,MA02,"McGovern, Jim",(D),56.2,36.8,58.7,39.2,60.4,37.5
MA,3,MA03,"Tsongas, Niki",(D),58.2,35.4,56.9,41.4,58.8,39.4
MA,4,MA04,"Kennedy, Joe",(D),59.2,35,57.2,41.3,60.4,37.9
MA,5,MA05,"Clark, Katherine",(D),69.3,25.7,65.2,33.1,66.2,32.1
MA,6,MA06,"Moulton, Seth",(D),56.1,38.2,54.7,43.9,56.9,41.4
MA,7,MA07,"Capuano, Mike",(D),84.1,11.9,82.5,15.6,81.9,16.7
MA,8,MA08,"Lynch, Stephen",(D),60.4,34.4,57.8,40.8,57.9,40.5
MA,9,MA09,"Keating, Bill",(D),52.5,41.8,55.5,43.1,57.8,40.6
MD,1,MD01,"Harris, Andy",(R),33.4,62,37.7,60.4,38.4,59.6
MD,2,MD02,"Ruppersberger, Dutch",(D),60.1,35.7,63.1,35,60.6,37.5
MD,3,MD03,"Sarbanes, John",(D),62.8,32.3,60.7,37.1,60.1,38
MD,4,MD04,"Brown, Anthony",(D),77.2,19.7,78.1,20.8,77.3,21.8
MD,5,MD05,"Hoyer, Steny",(D),64.1,32.1,66.1,32.4,65.1,33.6
MD,6,MD06,"Delaney, John",(D),55.3,40.2,55.2,42.8,56.3,42
MD,7,MD07,"Cummings, Elijah",(D),75.8,20.2,76.2,22.3,76.2,22.4
MD,8,MD08,"Raskin, Jamie",(D),65,30.6,62,36,62.8,35.6
ME,1,ME01,"Pingree, Chellie",(D),54.1,39.3,59.6,38.2,60.7,37.5
ME,2,ME02,"Poliquin, Bruce",(R),41.1,51.4,53,44.4,54.6,43.4
MI,1,MI01,"Bergman, Jack",(R),36.6,57.9,45.3,53.6,49.7,48.4
MI,2,MI02,"Huizenga, Bill",(R),38.2,55.8,43.1,56,48,50.3
MI,3,MI03,"Amash, Justin",(R),42.2,51.6,45.8,53.1,49.7,48.6
MI,4,MI04,"Moolenaar, John",(R),34.7,59.5,45.5,53.5,49.6,48.6
MI,5,MI05,"Kildee, Dan",(D),49.7,45.5,60.7,38.3,63,35.3
MI,6,MI06,"Upton, Fred",(R),42.9,51.3,48.8,50.2,53.1,45.2
MI,7,MI07,"Walberg, Tim",(R),38.7,55.7,47.9,51,50.8,47.4
MI,8,MI08,"Bishop, Mike",(R),43.9,50.6,48,51.1,52,46.4
MI,9,MI09,"Levin, Sander",(D),51.5,43.7,57.2,41.9,58.1,40.1
MI,10,MI10,"Mitchell, Paul",(R),31.6,63.8,43.7,55.3,48,50
MI,11,MI11,"Trott, Dave",(R),45.3,49.7,46.9,52.3,50.2,48.3
MI,12,MI12,"Dingell, Debbie",(D),60.8,34.5,66.2,32.8,66.9,31.4
MI,13,MI13,,(D),78.8,18.1,85.2,14.3,84.8,14.2
MI,14,MI14,"Lawrence, Brenda",(D),79.2,18.3,81,18.6,82.2,17.1
MN,1,MN01,"Walz, Tim",(D),38.4,53.3,49.6,48.2,50.8,46.7
MN,2,MN02,"Lewis, Jason",(R),45.3,46.5,49.1,49,50.5,47.6
MN,3,MN03,"Paulsen, Erik",(R),50.8,41.4,49.6,48.8,51,47.4
MN,4,MN04,"McCollum, Betty",(D),61.5,30.6,62.5,35.5,62.6,35.5
MN,5,MN05,"Ellison, Keith",(D),73.7,18.5,73.5,24,73.4,24.5
MN,6,MN06,"Emmer, Tom",(R),33.2,58.9,41.5,56.5,43.2,54.7
MN,7,MN07,"Peterson, Collin",(D),31,61.8,44.1,53.9,47.1,50.4
MN,8,MN08,"Nolan, Rick",(D),38.6,54.2,51.7,46.2,53.1,44.5
MO,1,MO01,"Clay, Lacy",(D),77,18.8,79.9,18.9,80.3,18.6
MO,2,MO02,"Wagner, Ann",(R),42.3,52.6,41.4,57.1,46.4,52.6
MO,3,MO03,"Luetkemeyer, Blaine",(R),28.1,67.1,36.1,62,42.8,55.8
MO,4,MO04,"Hartzler, Vicki",(R),29.3,65.3,36.4,61.2,41.9,56.5
MO,5,MO05,"Cleaver, Emanuel",(D),54.1,40.6,58.9,39.4,62,36.8
MO,6,MO06,"Graves, Sam",(R),31.7,63.1,37.9,60,43.1,55.3
MO,7,MO07,"Long, Billy",(R),24.7,70.4,30.3,67.6,35.3,63.1
MO,8,MO08,"Smith, Jason",(R),21,75.4,32,65.9,38.3,60
MS,1,MS01,"Kelly, Trent",(R),32.4,65.4,37,61.9,36.6,62.4
MS,2,MS02,"Thompson, Bennie",(D),63.6,35.1,66.4,33,64.2,35.2
MS,3,MS03,"Harper, Gregg",(R),36.8,61.3,39.1,60,38.4,60.8
MS,4,MS04,"Palazzo, Steven",(R),28.2,69.4,31.2,67.6,31.1,67.9
MT,1,MT01,"Gianforte, Greg",(R),35.9,56.5,41.7,55.4,47.3,49.5
NC,1,NC01,"Butterfield, G.K.",(D),67.5,30.5,68.1,31.2,67.3,32.2
NC,2,NC02,"Holding, George",(R),43.6,53.2,43,56,44.8,54.3
NC,3,NC03,"Jones, Walter",(R),36.9,60.5,40.6,58.5,42.4,56.8
NC,4,NC04,"Price, David",(D),68.2,28.2,64.5,34.2,65.8,33.2
NC,5,NC05,"Foxx, Virginia",(R),39.8,57.4,42.3,56.5,44.6,54.2
NC,6,NC06,"Walker, Mark",(R),41.4,56.1,43.2,55.9,45.2,53.8
NC,7,NC07,"Rouzer, David",(R),39.9,57.6,43.2,55.9,44.6,54.6
NC,8,NC08,"Hudson, Richard",(R),41.1,56.1,44.4,54.7,45.3,53.9
NC,9,NC09,"Pittenger, Robert",(R),42.8,54.4,43.8,55.4,45.2,54
NC,10,NC10,"McHenry, Patrick",(R),36.4,61,40.4,58.5,41.6,57.4
NC,11,NC11,"Meadows, Mark",(R),34,63.2,39.1,59.6,41.5,57.1
NC,12,NC12,"Adams, Alma",(D),68.4,28.4,67.8,31.3,68,31.3
NC,13,NC13,"Budd, Ted",(R),44,53.4,46.1,52.9,47.9,51.2
ND,1,ND01,"Cramer, Kevin",(R),27.7,64.1,38.9,58.7,44.6,53.3
NE,1,NE01,"Fortenberry, Jeff",(R),36.2,57.5,40.8,57.5,44.2,54.3
NE,2,NE02,"Bacon, Don",(R),46,48.2,45.7,52.8,50,48.8
NE,3,NE03,"Smith, Adrian",(R),20,74.9,27.8,70.2,31.1,67.1
NH,1,NH01,"Shea-Porter, Carol",(D),46.6,48.2,50.2,48.6,52.8,46.4
NH,2,NH02,"Kuster, Annie",(D),48.6,46.2,54.2,44.5,56,43.1
NJ,1,NJ01,"Norcross, Donald",(D),60.6,36.1,65.1,33.8,64.7,34.2
NJ,2,NJ02,"LoBiondo, Frank",(R),46,50.6,53.5,45.4,53.2,45.5
NJ,3,NJ03,"MacArthur, Tom",(R),45.2,51.4,51.8,47.2,51.1,47.7
NJ,4,NJ04,"Smith, Chris",(R),41,55.8,44.7,54.2,45.3,53.6
NJ,5,NJ05,"Gottheimer, Josh",(D),47.7,48.8,47.9,50.9,48.5,50.5
NJ,6,NJ06,"Pallone, Frank",(D),56.2,40.6,61.4,37.4,58.4,40.5
NJ,7,NJ07,"Lance, Leonard",(R),48.6,47.5,46.3,52.5,47.2,51.6
NJ,8,NJ08,"Sires, Albio",(D),75.7,21.5,78.3,20.8,73.2,26
NJ,9,NJ09,"Pascrell, Bill",(D),64.3,33.1,68.4,30.8,64,35.2
NJ,10,NJ10,"Payne, Donald",(D),85.2,12.8,87.9,11.5,84.9,14.6
NJ,11,NJ11,"Frelinghuysen, Rodney",(R),47.9,48.8,46.6,52.4,47,52.1
NJ,12,NJ12,"Watson Coleman, Bonnie",(D),65,31.8,66.5,32.4,65.7,33.3
NM,1,NM01,"Lujan Grisham, Michelle",(D),51.6,35.1,55.3,39.6,59.7,39
NM,2,NM02,"Pearce, Steve",(R),39.9,50.1,44.9,51.7,48.4,50.2
NM,3,NM03,"Lujan, Ben",(D),51.8,36.7,57.5,38.7,61.2,37.5
NV,1,NV01,"Titus, Dina",(D),61.6,32.6,65.6,32.4,64.5,33
NV,2,NV02,"Amodei, Mark",(R),39.7,52,44.8,52.9,49.4,48.2
NV,3,NV03,"Rosen, Jacky",(D),46.5,47.5,49.5,48.7,53.5,44.6
NV,4,NV04,"Kihuen, Ruben",(D),49.5,44.6,54.4,43.7,56.4,41.4
NY,1,NY01,"Zeldin, Lee",(R),42.2,54.5,49.6,49.1,51,48
NY,2,NY02,"King, Peter",(R),43.9,53,51.6,47.2,51,48
NY,3,NY03,"Suozzi, Tom",(D),51.6,45.5,50.8,48.2,54,46
NY,4,NY04,"Rice, Kathleen",(D),53.4,43.8,56.3,42.8,55,44
NY,5,NY05,"Meeks, Gregory",(D),85.7,12.7,90.6,9.1,86,14
NY,6,NY06,"Meng, Grace",(D),65.1,32.1,67.8,31,63,36
NY,7,NY07,"Velazquez, Nydia",(D),86.9,10.4,88.4,10.3,84,15
NY,8,NY08,"Jeffries, Hakeem",(D),84.6,13.5,89.3,10.1,86,14
NY,9,NY09,"Clarke, Yvette",(D),83.5,14.4,85.3,13.8,84,15
NY,10,NY10,"Nadler, Jerrold",(D),78.3,18.8,73.6,25,76,23
NY,11,NY11,"Donovan, Dan",(R),43.8,53.6,51.6,47.3,48,51
NY,12,NY12,"Maloney, Carolyn",(D),83.3,13.5,76.9,21.5,80,19
NY,13,NY13,"Espaillat, Adriano",(D),92.3,5.4,94.6,4.6,93,6
NY,14,NY14,"Crowley, Joe",(D),77.7,19.8,80.7,18.3,76,23
NY,15,NY15,"Serrano, Jose",(D),93.8,4.9,96.7,3,95,5
NY,16,NY16,"Engel, Eliot",(D),75.1,22.5,73.7,25.5,73,26
NY,17,NY17,"Lowey, Nita",(D),58.6,38.4,57.1,41.8,58,41
NY,18,NY18,"Maloney, Sean",(D),47.1,49,51.4,47.1,52,47
NY,19,NY19,"Faso, John",(R),44,50.8,52.1,45.9,53,45
NY,20,NY20,"Tonko, Paul",(D),54,40.5,59.2,38.8,58,40
NY,21,NY21,"Stefanik, Elise",(R),40,53.9,52.2,46.1,52,47
NY,22,NY22,"Tenney, Claudia",(R),39.3,54.8,48.8,49.2,49,49
NY,23,NY23,"Reed, Tom",(R),39.7,54.5,48.4,49.6,50,49
NY,24,NY24,"Katko, John",(R),48.9,45.3,57,41.1,56,42
NY,25,NY25,,(D),55.5,39.1,58.8,39.4,59,40
NY,26,NY26,"Higgins, Brian",(D),57.6,38,63.9,34.3,63,35
NY,27,NY27,"Collins, Chris",(R),35.2,59.7,42.9,55.3,44,54
OH,1,OH01,"Chabot, Steve",(R),44.6,51.2,46.3,52.4,47.2,51.8
OH,2,OH02,"Wenstrup, Brad",(R),39.7,55.8,43.7,54.7,44.3,54.2
OH,3,OH03,"Beatty, Joyce",(D),67,28.6,69.7,28.9,67.4,31.3
OH,4,OH04,"Jordan, Jim",(R),30.7,64.3,42,56,43.7,54.4
OH,5,OH05,"Latta, Bob",(R),34.6,59.7,44.1,53.9,46,52.2
OH,6,OH06,"Johnson, Bill",(R),26.7,69.3,42.7,55.2,44.7,53.1
OH,7,OH07,"Gibbs, Bob",(R),32.8,62.5,44.2,53.7,46.9,50.9
OH,8,OH08,"Davidson, Warren",(R),30.6,65.1,36.4,61.9,38.1,60.3
OH,9,OH09,"Kaptur, Marcy",(D),58.7,36.5,67.6,30.9,66.8,31.6
OH,10,OH10,"Turner, Michael",(R),44,51.3,48.2,50.1,49.3,49.3
OH,11,OH11,"Fudge, Marcia",(D),80.5,17,82.7,16.5,82,17.2
OH,12,OH12,,(R),41.9,53.2,43.9,54.4,44.8,53.7
OH,13,OH13,"Ryan, Tim",(D),51.1,44.6,62.9,35.4,62.3,35.8
OH,14,OH14,"Joyce, David",(R),42.1,53.6,47.6,50.9,49.1,49.4
OH,15,OH15,"Stivers, Steve",(R),39.9,55.3,46.3,51.9,46.1,52.2
OH,16,OH16,"Renacci, Jim",(R),39.5,56.2,45.2,53.4,47.2,51.3
