Pollster,Date,Approve,Disapprove,Gap,President,538 Grade,Mean-Reverted Bias,Grade,Adjusted Approve,Adjusted Disapprove,Adjusted Gap
Public Policy Polling, 9/28/2016,48,48,0,Obama,B,0.26406832,3,47.86796584,48.13203416,-0.26406832
Ipsos, 9/26/2016,46,47,-1,Obama,B+,0.5955,3.3,45.70225,47.29775,-1.5955
Monmouth University, 9/25/2016,53,43,10,Obama,A+,1.4258947,4,52.28705265,43.71294735,8.5741053
YouGov, 9/24/2016,50,49,1,Obama,B,0.26403361,3,49.8679832,49.13201681,0.73596639
Bloomberg, 9/24/2016,49,48,1,Obama,C,0,2,49,48,1
ABC News/Washington Post, 9/22/2016,51,45,6,Obama,A+,0.61341176,4,50.69329412,45.30670588,5.38658824
Marist College, 9/20/2016,51,44,7,Obama,A,-0.45775194,4,51.22887597,43.77112403,7.45775194
YouGov, 9/19/2016,47,51,-4,Obama,B,0.26403361,3,46.8679832,51.13201681,-4.26403361
NBC News/Wall Street Journal, 9/19/2016,52,45,7,Obama,A-,0.80923077,3.7,51.59538462,45.40461539,6.19076923
Ipsos, 9/19/2016,47,48,-1,Obama,B+,0.5955,3.3,46.70225,48.29775,-1.5955
GfK Group, 9/16/2016,50,50,0,Obama,B,0.25490196,3,49.87254902,50.12745098,-0.25490196
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/14/2016,50,48,2,Obama,A,0.61413043,4,49.69293479,48.30706522,1.38586957
YouGov, 9/13/2016,48,50,-2,Obama,B,0.26403361,3,47.8679832,50.13201681,-2.26403361
Quinnipiac University, 9/13/2016,50,47,3,Obama,A-,0.06815029,3.7,49.96592486,47.03407515,2.93184971
Ipsos, 9/12/2016,48,48,0,Obama,B+,0.5955,3.3,47.70225,48.29775,-0.5955
ABC News/Washington Post, 9/8/2016,55,42,13,Obama,A+,0.61341176,4,54.69329412,42.30670588,12.38658824
YouGov, 9/6/2016,50,48,2,Obama,B,0.26403361,3,49.8679832,48.13201681,1.73596639
ABC News/Washington Post, 11/14/2016,56,40,16,Obama,A+,0.61341176,4,55.69329412,40.30670588,15.38658824
Ipsos, 9/5/2016,47,48,-1,Obama,B+,0.5955,3.3,46.70225,48.29775,-1.5955
CNN/Opinion Research Corp., 9/4/2016,51,48,3,Obama,B+,0.0607,3.3,50.96965,48.03035,2.9393
George Washington University (Battleground), 9/1/2016,51,47,4,Obama,B,-0.97508197,3,51.48754099,46.51245902,4.97508197
IBD/TIPP, 9/1/2016,50,44,6,Obama,A-,-0.78254902,3.7,50.39127451,43.60872549,6.78254902
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/30/2016,54,43,11,Obama,A,0.61413043,4,53.69293479,43.30706522,10.38586957
YouGov, 8/29/2016,48,49,-1,Obama,B,0.26403361,3,47.8679832,49.13201681,-1.26403361
Public Policy Polling, 8/28/2016,50,46,4,Obama,B,0.26406832,3,49.86796584,46.13203416,3.73593168
Suffolk University, 8/29/2016,50,45,5,Obama,B+,0.59554054,3.3,49.70222973,45.29777027,4.40445946
Ipsos, 8/29/2016,47,48,-1,Obama,B+,0.5955,3.3,46.70225,48.29775,-1.5955
Ipsos, 8/24/2016,44,50,-6,Obama,B+,0.5955,3.3,43.70225,50.29775,-6.5955
Quinnipiac University, 8/24/2016,54,44,10,Obama,A-,0.06815029,3.7,53.96592486,44.03407515,9.93184971
YouGov, 8/23/2016,47,52,-5,Obama,B,0.26403361,3,46.8679832,52.13201681,-5.26403361
Ipsos, 8/17/2016,46,48,-2,Obama,B+,0.5955,3.3,45.70225,48.29775,-2.5955
YouGov, 8/16/2016,49,50,-1,Obama,B,0.26403361,3,48.8679832,50.13201681,-1.26403361
Pew Research Center, 8/16/2016,53,42,11,Obama,B-,0.62980392,2.7,52.68509804,42.31490196,10.37019608
Ipsos, 8/10/2016,50,45,5,Obama,B+,0.5955,3.3,49.70225,45.29775,4.4045
YouGov, 8/9/2016,49,49,0,Obama,B,0.26403361,3,48.8679832,49.13201681,-0.26403361
Bloomberg, 8/8/2016,50,44,6,Obama,C,0,2,50,44,6
Monmouth University, 8/7/2016,56,40,16,Obama,A+,1.4258947,4,55.28705265,40.71294735,14.5741053
ABC News/Washington Post, 8/4/2016,53,45,8,Obama,A+,0.61341176,4,52.69329412,45.30670588,7.38658824
Marist College, 8/3/2016,53,40,13,Obama,A,-0.45775194,4,53.22887597,39.77112403,13.45775194
NBC News/Wall Street Journal, 8/3/2016,52,44,8,Obama,A-,0.80923077,3.7,51.59538462,44.40461539,7.19076923
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/2/2016,52,45,7,Obama,A,0.61413043,4,51.69293479,45.30706522,6.38586957
IBD/TIPP, 8/4/2016,52,40,12,Obama,A-,-0.78254902,3.7,52.39127451,39.60872549,12.78254902
Ipsos, 8/3/2016,48,48,0,Obama,B+,0.5955,3.3,47.70225,48.29775,-0.5955
YouGov, 8/1/2016,48,49,-1,Obama,B,0.26403361,3,47.8679832,49.13201681,-1.26403361
CNN/Opinion Research Corp., 7/31/2016,54,45,9,Obama,B+,0.0607,3.3,53.96965,45.03035,8.9393
Public Policy Polling, 7/30/2016,50,47,3,Obama,B,0.26406832,3,49.86796584,47.13203416,2.73593168
Ipsos, 7/29/2016,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
YouGov, 7/24/2016,48,49,-1,Obama,B,0.26403361,3,47.8679832,49.13201681,-1.26403361
CNN/Opinion Research Corp., 7/24/2016,50,47,3,Obama,B+,0.0607,3.3,49.96965,47.03035,2.9393
Ipsos, 7/20/2016,44,49,-5,Obama,B+,0.5955,3.3,43.70225,49.29775,-5.5955
YouGov, 7/17/2016,45,49,-4,Obama,B,0.26403361,3,44.8679832,49.13201681,-4.26403361
Monmouth University, 7/16/2016,49,47,2,Obama,A+,1.4258947,4,48.28705265,47.71294735,0.5741053
ABC News/Washington Post, 7/14/2016,52,46,6,Obama,A+,0.61341176,4,51.69329412,46.30670588,5.38658824
NBC News/Wall Street Journal, 7/13/2016,51,46,5,Obama,A-,0.80923077,3.7,50.59538462,46.40461539,4.19076923
CBS News/New York Times, 7/12/2016,53,41,12,Obama,A-,0.43547945,3.7,52.78226028,41.21773973,11.56452055
YouGov, 7/11/2016,46,51,-5,Obama,B,0.26403361,3,45.8679832,51.13201681,-5.26403361
GfK Group, 7/11/2016,47,52,-5,Obama,B,0.25490196,3,46.87254902,52.12745098,-5.25490196
Marist College, 7/9/2016,51,43,8,Obama,A,-0.45775194,4,51.22887597,42.77112403,8.45775194
Ipsos, 7/6/2016,51,45,6,Obama,B+,0.5955,3.3,50.70225,45.29775,5.4045
YouGov, 7/4/2016,45,51,-6,Obama,B,0.26403361,3,44.8679832,51.13201681,-6.26403361
Suffolk University, 6/29/2016,50,47,3,Obama,B+,0.59554054,3.3,49.70222973,47.29777027,2.40445946
Public Policy Polling, 6/28/2016,48,47,1,Obama,B,0.26406832,3,47.86796584,47.13203416,0.73593168
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/28/2016,50,47,3,Obama,A,0.61413043,4,49.69293479,47.30706522,2.38586957
IBD/TIPP, 6/29/2016,50,45,5,Obama,A-,-0.78254902,3.7,50.39127451,44.60872549,5.78254902
Ipsos, 6/29/2016,49,46,3,Obama,B+,0.5955,3.3,48.70225,46.29775,2.4045
YouGov, 6/27/2016,43,54,-11,Obama,B,0.26403361,3,42.8679832,54.13201681,-11.26403361
Quinnipiac University, 6/27/2016,48,48,0,Obama,A-,0.06815029,3.7,47.96592486,48.03407515,-0.06815029
The Atlantic, 6/24/2016,51,43,8,Obama,C,0,2,51,43,8
ABC News/Washington Post, 6/23/2016,54,43,11,Obama,A+,0.61341176,4,53.69329412,43.30670588,10.38658824
NBC News/Wall Street Journal, 6/23/2016,51,45,6,Obama,A-,0.80923077,3.7,50.59538462,45.40461539,5.19076923
Pew Research Center, 6/26/2016,50,44,6,Obama,B-,0.62980392,2.7,49.68509804,44.31490196,5.37019608
Ipsos, 6/20/2016,50,46,4,Obama,B+,0.5955,3.3,49.70225,46.29775,3.4045
YouGov, 6/20/2016,47,49,-2,Obama,B,0.26403361,3,46.8679832,49.13201681,-2.26403361
CNN/Opinion Research Corp., 6/19/2016,52,45,7,Obama,B+,0.0607,3.3,51.96965,45.03035,6.9393
Monmouth University, 6/19/2016,49,46,3,Obama,A+,1.4258947,4,48.28705265,46.71294735,1.5741053
Ipsos, 6/15/2016,48,47,1,Obama,B+,0.5955,3.3,47.70225,47.29775,0.4045
Bloomberg, 6/13/2016,53,42,11,Obama,C,0,2,53,42,11
CBS News/New York Times, 6/13/2016,53,41,12,Obama,A-,0.43547945,3.7,52.78226028,41.21773973,11.56452055
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/8/2016,51,46,5,Obama,A,0.61413043,4,50.69293479,46.30706522,4.38586957
Ipsos, 6/8/2016,49,47,2,Obama,B+,0.5955,3.3,48.70225,47.29775,1.4045
YouGov, 6/5/2016,46,52,-6,Obama,B,0.26403361,3,45.8679832,52.13201681,-6.26403361
IBD/TIPP, 6/5/2016,51,42,9,Obama,A-,-0.78254902,3.7,51.39127451,41.60872549,9.78254902
Ipsos, 6/1/2016,52,44,8,Obama,B+,0.5955,3.3,51.70225,44.29775,7.4045
Quinnipiac University, 5/30/2016,49,48,1,Obama,A-,0.06815029,3.7,48.96592486,48.03407515,0.93184971
Ipsos, 5/25/2016,47,46,1,Obama,B+,0.5955,3.3,46.70225,46.29775,0.4045
YouGov, 5/23/2016,45,52,-7,Obama,B,0.26403361,3,44.8679832,52.13201681,-7.26403361
ABC News/Washington Post, 5/19/2016,47,51,-4,Obama,A+,0.61341176,4,46.69329412,51.30670588,-4.61341176
NBC News/Wall Street Journal, 5/19/2016,51,46,5,Obama,A-,0.80923077,3.7,50.59538462,46.40461539,4.19076923
Fox News/Anderson Robbins Research/Shaw & Co. Research, 5/17/2016,48,49,-1,Obama,A,0.61413043,4,47.69293479,49.30706522,-1.61413043
Ipsos, 5/17/2016,48,47,1,Obama,B+,0.5955,3.3,47.70225,47.29775,0.4045
CBS News/New York Times, 5/17/2016,50,43,7,Obama,A-,0.43547945,3.7,49.78226028,43.21773973,6.56452055
Ipsos, 5/11/2016,47,50,-3,Obama,B+,0.5955,3.3,46.70225,50.29775,-3.5955
YouGov, 5/9/2016,46,52,-6,Obama,B,0.26403361,3,45.8679832,52.13201681,-6.26403361
Public Policy Polling, 5/9/2016,49,48,1,Obama,B,0.26406832,3,48.86796584,48.13203416,0.73593168
Ipsos, 5/4/2016,49,45,4,Obama,B+,0.5955,3.3,48.70225,45.29775,3.4045
CNN/Opinion Research Corp., 5/1/2016,51,46,5,Obama,B+,0.0607,3.3,50.96965,46.03035,4.9393
IBD/TIPP, 4/28/2016,49,44,5,Obama,A-,-0.78254902,3.7,49.39127451,43.60872549,5.78254902
Ipsos, 4/27/2016,46,49,-3,Obama,B+,0.5955,3.3,45.70225,49.29775,-3.5955
YouGov, 4/26/2016,45,51,-6,Obama,B,0.26403361,3,44.8679832,51.13201681,-6.26403361
Suffolk University, 4/24/2016,46,45,1,Obama,B+,0.59554054,3.3,45.70222973,45.29777027,0.40445946
George Washington University (Battleground), 4/20/2016,51,46,5,Obama,B,-0.97508197,3,51.48754099,45.51245902,5.97508197
Pew Research Center, 4/19/2016,48,47,1,Obama,B-,0.62980392,2.7,47.68509804,47.31490196,0.37019608
Ipsos, 4/20/2016,49,45,4,Obama,B+,0.5955,3.3,48.70225,45.29775,3.4045
NBC News/Wall Street Journal, 4/14/2016,49,48,1,Obama,A-,0.80923077,3.7,48.59538462,48.40461539,0.19076923
Fox News/Anderson Robbins Research/Shaw & Co. Research, 4/13/2016,49,47,2,Obama,A,0.61413043,4,48.69293479,47.30706522,1.38586957
Ipsos, 4/13/2016,48,48,0,Obama,B+,0.5955,3.3,47.70225,48.29775,-0.5955
CBS News/New York Times, 4/12/2016,46,45,1,Obama,A-,0.43547945,3.7,45.78226028,45.21773973,0.56452055
YouGov, 4/11/2016,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
Ipsos, 4/6/2016,46,50,-4,Obama,B+,0.5955,3.3,45.70225,50.29775,-4.5955
GfK Group, 4/4/2016,50,50,0,Obama,B,0.25490196,3,49.87254902,50.12745098,-0.25490196
IBD/TIPP, 4/2/2016,48,44,4,Obama,A-,-0.78254902,3.7,48.39127451,43.60872549,4.78254902
Marist College, 3/31/2016,50,46,4,Obama,A,-0.45775194,4,50.22887597,45.77112403,4.45775194
Ipsos, 3/31/2016,46,49,-3,Obama,B+,0.5955,3.3,45.70225,49.29775,-3.5955
YouGov, 3/29/2016,46,51,-5,Obama,B,0.26403361,3,45.8679832,51.13201681,-5.26403361
Public Policy Polling, 3/26/2016,47,48,-1,Obama,B,0.26406832,3,46.86796584,48.13203416,-1.26406832
Pew Research Center, 3/27/2016,51,44,7,Obama,B-,0.62980392,2.7,50.68509804,44.31490196,6.37019608
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/22/2016,48,46,2,Obama,A,0.61413043,4,47.69293479,46.30706522,1.38586957
Ipsos, 3/23/2016,45,50,-5,Obama,B+,0.5955,3.3,44.70225,50.29775,-5.5955
Bloomberg, 3/22/2016,50,44,6,Obama,C,0,2,50,44,6
Quinnipiac University, 3/21/2016,49,48,1,Obama,A-,0.06815029,3.7,48.96592486,48.03407515,0.93184971
CNN/Opinion Research Corp., 3/20/2016,51,46,5,Obama,B+,0.0607,3.3,50.96965,46.03035,4.9393
CBS News/New York Times, 3/20/2016,48,44,4,Obama,A-,0.43547945,3.7,47.78226028,44.21773973,3.56452055
Monmouth University, 3/20/2016,48,45,3,Obama,A+,1.4258947,4,47.28705265,45.71294735,1.5741053
Ipsos, 3/16/2016,46,51,-5,Obama,B+,0.5955,3.3,45.70225,51.29775,-5.5955
YouGov, 3/12/2016,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Ipsos, 3/9/2016,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
NBC News/Wall Street Journal, 3/6/2016,49,46,3,Obama,A-,0.80923077,3.7,48.59538462,46.40461539,2.19076923
ABC News/Washington Post, 3/6/2016,51,43,8,Obama,A+,0.61341176,4,50.69329412,43.30670588,7.38658824
Ipsos, 3/2/2016,47,47,0,Obama,B+,0.5955,3.3,46.70225,47.29775,-0.5955
YouGov, 2/27/2016,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
CNN/Opinion Research Corp., 2/27/2016,50,46,4,Obama,B+,0.0607,3.3,49.96965,46.03035,3.9393
Ipsos, 2/24/2016,47,48,-1,Obama,B+,0.5955,3.3,46.70225,48.29775,-1.5955
IBD/TIPP, 2/24/2016,46,47,-1,Obama,A-,-0.78254902,3.7,46.39127451,46.60872549,-0.21745098
Fox News/Anderson Robbins Research/Shaw & Co. Research, 2/17/2016,49,47,2,Obama,A,0.61413043,4,48.69293479,47.30706522,1.38586957
NBC News/Wall Street Journal, 2/16/2016,49,47,2,Obama,A-,0.80923077,3.7,48.59538462,47.40461539,1.19076923
Ipsos, 2/17/2016,45,51,-6,Obama,B+,0.5955,3.3,44.70225,51.29775,-6.5955
GfK Group, 2/15/2016,44,55,-11,Obama,B,0.25490196,3,43.87254902,55.12745098,-11.25490196
YouGov, 2/15/2016,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
CBS News/New York Times, 2/16/2016,47,45,2,Obama,A-,0.43547945,3.7,46.78226028,45.21773973,1.56452055
Suffolk University, 2/15/2016,40,51,-11,Obama,B+,0.59554054,3.3,39.70222973,51.29777027,-11.59554054
Quinnipiac University, 2/15/2016,44,54,-10,Obama,A-,0.06815029,3.7,43.96592486,54.03407515,-10.06815029
Ipsos, 2/10/2016,45,52,-7,Obama,B+,0.5955,3.3,44.70225,52.29775,-7.5955
Public Policy Polling, 2/3/2016,45,51,-6,Obama,B,0.26406832,3,44.86796584,51.13203416,-6.26406832
Ipsos, 2/3/2016,46,49,-3,Obama,B+,0.5955,3.3,45.70225,49.29775,-3.5955
YouGov, 1/30/2016,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
IBD/TIPP, 1/27/2016,49,43,6,Obama,A-,-0.78254902,3.7,49.39127451,42.60872549,6.78254902
CNN/Opinion Research Corp., 1/24/2016,47,49,-2,Obama,B+,0.0607,3.3,46.96965,49.03035,-2.0607
ABC News/Washington Post, 1/24/2016,50,46,4,Obama,A+,0.61341176,4,49.69329412,46.30670588,3.38658824
Fox News/Anderson Robbins Research/Shaw & Co. Research, 1/21/2016,45,48,-3,Obama,A,0.61413043,4,44.69293479,48.30706522,-3.61413043
Ipsos, 1/20/2016,45,51,-6,Obama,B+,0.5955,3.3,44.70225,51.29775,-6.5955
YouGov, 1/19/2016,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
Monmouth University, 1/18/2016,45,48,-3,Obama,A+,1.4258947,4,44.28705265,48.71294735,-4.4258947
NBC News/Wall Street Journal, 1/13/2016,47,49,-2,Obama,A-,0.80923077,3.7,46.59538462,49.40461539,-2.80923077
Pew Research Center, 1/14/2016,46,48,-2,Obama,B-,0.62980392,2.7,45.68509804,48.31490196,-2.62980392
Ipsos, 1/13/2016,48,48,0,Obama,B+,0.5955,3.3,47.70225,48.29775,-0.5955
CBS News/New York Times, 1/10/2016,46,47,-1,Obama,A-,0.43547945,3.7,45.78226028,47.21773973,-1.43547945
IBD/TIPP, 1/8/2016,43,48,-5,Obama,A-,-0.78254902,3.7,43.39127451,47.60872549,-4.21745098
Fox News/Anderson Robbins Research/Shaw & Co. Research, 1/7/2016,42,53,-11,Obama,A,0.61413043,4,41.69293479,53.30706522,-11.61413043
Ipsos, 1/6/2016,44,51,-7,Obama,B+,0.5955,3.3,43.70225,51.29775,-7.5955
National Journal, 1/6/2016,47,47,0,Obama,A,-0.17857143,4,47.08928572,46.91071429,0.17857143
YouGov, 1/5/2016,43,54,-11,Obama,B,0.26403361,3,42.8679832,54.13201681,-11.26403361
Ipsos, 12/30/2015,41,51,-10,Obama,B+,0.5955,3.3,40.70225,51.29775,-10.5955
Ipsos, 12/23/2015,42,52,-10,Obama,B+,0.5955,3.3,41.70225,52.29775,-10.5955
YouGov, 12/22/2015,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
CNN/Opinion Research Corp., 12/21/2015,47,52,-5,Obama,B+,0.0607,3.3,46.96965,52.03035,-5.0607
Quinnipiac University, 12/20/2015,44,52,-8,Obama,A-,0.06815029,3.7,43.96592486,52.03407515,-8.06815029
Fox News/Anderson Robbins Research/Shaw & Co. Research, 12/17/2015,43,51,-8,Obama,A,0.61413043,4,42.69293479,51.30706522,-8.61413043
Public Policy Polling, 12/17/2015,44,48,-4,Obama,B,0.26406832,3,43.86796584,48.13203416,-4.26406832
Ipsos, 12/16/2015,42,53,-11,Obama,B+,0.5955,3.3,41.70225,53.29775,-11.5955
Monmouth University, 12/13/2015,40,54,-14,Obama,A+,1.4258947,4,39.28705265,54.71294735,-15.4258947
Pew Research Center, 12/13/2015,46,49,-3,Obama,B-,0.62980392,2.7,45.68509804,49.31490196,-3.62980392
