1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
28,AL,Alabama,4,n/a,,,Scattered,Scattered,,W,,,,,3519,1.47%,,,,,,
29,AL,Alabama,4,n/a,,,,,District Votes:,,106756,,,,239444,,,,,,,
30,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
31,AL,Alabama,5,H0AL05163,(I),Mo,Brooks,Brooks; Mo,,R,Unopposed,,,,205647,66.70%,,,,,W,
32,AL,Alabama,5,H6AL05202,,Will Jr.,Boyd,Boyd; Will; Jr.,,D,Unopposed,,,,102234,33.16%,,,,,,
33,AL,Alabama,5,n/a,,,Scattered,Scattered,,W,,,,,445,0.14%,,,,,,
34,AL,Alabama,5,n/a,,,,,District Votes:,,,,,,308326,,,,,,,
35,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
36,AL,Alabama,6,H4AL06098,(I),Gary,Palmer,Palmer; Gary,,R,Unopposed,,,,245313,74.49%,,,,,W,
37,AL,Alabama,6,H6AL06127,,David J.,Putman,Putman; David J.,,D,Unopposed,,,,83709,25.42%,,,,,,
38,AL,Alabama,6,n/a,,,Scattered,Scattered,,W,,,,,284,0.09%,,,,,,
39,AL,Alabama,6,n/a,,,,,District Votes:,,,,,,329306,,,,,,,
40,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
41,AL,Alabama,7,H0AL07086,(I),Terri A.,Sewell,Sewell; Terri A.,,D,Unopposed,,,,229330,98.41%,,,,,W,
42,AL,Alabama,7,n/a,,,Scattered,Scattered,,W,,,,,3698,1.59%,,,,,,
43,AL,Alabama,7,n/a,,,,,District Votes:,,,,,,233028,,,,,,,
44,,,,n/a,,,,,,,,,,,,,,,,,,
45,AL,Alabama,H,n/a,,,,,Total State Votes:,,445851,,,,1889685,,,,,,,
46,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
47,,,,n/a,,,,,,,,,,,,,,,,,,
48,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
49,AK,Alaska,0,H6AK00045,(I),Don,Young,Young; Don,,R,38998,71.52%,,,155088,50.32%,,,,,W,
50,AK,Alaska,0,H6AK00284,,"Stephen T. ""Todd""",Wright,"Wright; Stephen T. ""Todd""",,R,10189,18.69%,,,,,,,,,,
51,AK,Alaska,0,H6AK00268,,Gerald L.,Heikes,Heikes; Gerald L.,,R,2817,5.17%,,,,,,,,,,
52,AK,Alaska,0,H6AK00276,,"Jesse J. ""Messy""",Tingley,"Tingley; Jesse J. ""Messy""",,R,2524,4.63%,,,,,,,,,,
53,AK,Alaska,0,n/a,,,,,Party Votes:,R,54528,,,,,,,,,,,
54,AK,Alaska,0,H6AK00235,,Steve,Lindbeck,Lindbeck; Steve,,D,17009,67.88%,,,111019,36.02%,,,,,,
55,AK,Alaska,0,H6AK00250,,"Lynette ""Moreno""",Hinz,"Hinz; Lynette ""Moreno""",,D,5130,20.47%,,,,,,,,,,
56,AK,Alaska,0,H6AK00243,,"William D. ""Bill""",Hibler,"Hibler; William D. ""Bill""",,D,2918,11.65%,,,,,,,,,,
57,AK,Alaska,0,n/a,,,,,Party Votes:,D,25057,,,,,,,,,,,
58,AK,Alaska,0,H2AK00143,,Jim C.,McDermott,McDermott; Jim C.,,LIB,3960,71.44%,,,31770,10.31%,,,,,,
59,AK,Alaska,0,H6AK00292,,Jon B.,Watts,Watts; Jon B.,,LIB,1583,28.56%,,,,,,,,,,
60,AK,Alaska,0,n/a,,,,,Party Votes:,LIB,5543,,,,,,,,,,,
61,AK,Alaska,0,H6AK00300,,Bernie,Souphanavong,Souphanavong; Bernie,,NAF,,,,,9093,2.95%,,,,,,
62,AK,Alaska,0,H6AK00318,,Zachary A.,Kile,Kile; Zachary A.,,W,,,,,,,,,,,,
63,AK,Alaska,0,H6AK00284,,Stephen,Wright,Wright; Stephen,,W,,,,,,,,,,,,
64,AK,Alaska,0,n/a,,,Scattered,Scattered,,W,,,,,1228,0.40%,,,,,,
65,AK,Alaska,0,n/a,,,,,District Votes:,,85128,,,,308198,,,,,,,
66,,,,n/a,,,,,,,,,,,,,,,,,,
67,AK,Alaska,H,n/a,,,,,Total State Votes:,,85128,,,,308198,,,,,,,
68,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,
70,AS,American Samoa,0,H4AS00036,(I),Aumua,Amata,Amata; Aumua,,R,,,,,8923,75.40%,,,,,W,
71,AS,American Samoa,0,H6AS00031,,Vaitinasa Salu,Hunkin-Finau,Hunkin-Finau; Vaitinasa Salu,,D,,,,,1581,13.36%,,,,,,
72,AS,American Samoa,0,H4AS00069,,Paepaetele Mapu S.,Jamias,Jamias; Paepaetele Mapu S.,,D,,,,,978,8.26%,,,,,,
73,AS,American Samoa,0,H4AS00093,,Meleagi,Suitonu-Chapman,Suitonu-Chapman; Meleagi,,D,,,,,181,1.53%,,,,,,
74,AS,American Samoa,0,H6AS00049,,Tim,Jones,Jones; Tim,,IND,,,,,171,1.44%,,,,,,
75,AS,American Samoa,0,n/a,,,,,District Votes:,,,,,,11834,,,,,,,
76,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,11834,,,,,,,
77,AS,American Samoa,0,n/a,,,,,,,,,,,,,,,,,,
78,,,,n/a,,,,,,,,,,,,,,,,,,
79,AZ,Arizona,1,H6AZ01199,,Tom,O'Halleran,O'Halleran; Tom,,D,30833,58.77%,,,142219,50.66%,,,,,W,
80,AZ,Arizona,1,H6AZ01181 ,,Miguel,Olivas,Olivas; Miguel,,D,21632,41.23%,,,,,,,,,,
81,AZ,Arizona,1,n/a,,,,,Party Votes:,D,52465,,,,,,,,,,,
82,AZ,Arizona,1,H2AZ04127 ,,Paul,Babeu,Babeu; Paul,,R,19533,30.82%,,,121745,43.37%,,,,,,
83,AZ,Arizona,1,H4AZ01145 ,,Gary,Kiehne,Kiehne; Gary,,R,14854,23.44%,,,,,,,,,,
84,AZ,Arizona,1,H2AZ09035 ,,Wendy,Rogers,Rogers; Wendy,,R,14222,22.44%,,,,,,,,,,
85,AZ,Arizona,1,H6AZ01173,,Ken,Bennett,Bennett; Ken,,R,10578,16.69%,,,,,,,,,,
86,AZ,Arizona,1,H6AZ01207 ,,Shawn,Redd,Redd; Shawn,,R,2098,3.31%,,,,,,,,,,
87,AZ,Arizona,1,H6AZ01215,,David,Gowan,Gowan; David,,R,2091,3.30%,,,,,,,,,,
88,AZ,Arizona,1,n/a,,,,,Party Votes:,R,63376,,,,,,,,,,,
89,AZ,Arizona,1,H6AZ01264,,Ray,Parrish,Parrish; Ray,,W(GRE)/GRE,66,100.00%,,,16746,5.97%,,,,,,
90,AZ,Arizona,1,n/a,,,,,Party Votes:,GRE,66,,,,,,,,,,,
91,AZ,Arizona,1,H2AZ01321,,Kim,Allen,Allen; Kim,,W(LIB),144,100.00%,,,,,,,,,,
92,AZ,Arizona,1,n/a,,,,,Party Votes:,LIB,144,,,,,,,,,,,
93,,,,n/a,,,,,,,,,,,,,,,,,,
94,AZ,Arizona,1,n/a,,,,,District Votes:,,116051,,,,280710,,,,,,,
95,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
96,AZ,Arizona,2,H2AZ08102 ,(I),Martha,McSally,McSally; Martha,,R,69378,100.00%,,,179806,56.96%,,,,,W,
97,AZ,Arizona,2,n/a,,,,,Party Votes:,R,69378,,,,,,,,,,,
98,AZ,Arizona,2,H2AZ08078,,Matt,Heinz,Heinz; Matt,,D,32017,52.77%,,,135873,43.04%,,,,,,
99,AZ,Arizona,2,H6AZ02171,,Victoria,Steele,Steele; Victoria,,D,28658,47.23%,,,,,,,,,,
100,AZ,Arizona,2,n/a,,,,,Party Votes:,D,60675,,,,,,,,,,,
101,AZ,Arizona,2,H6AZ02213,,Gary,Swing,Swing; Gary,,W(GRE),38,100.00%,,,,,,,,,,
102,AZ,Arizona,2,n/a,,,,,Party Votes:,GRE,38,,,,,,,,,,,
103,AZ,Arizona,2,H6AZ02205 ,,Ed Jr.,Tilton,Tilton; Ed; Jr.,,W(LIB),164,100.00%,,,,,,,,,,
104,AZ,Arizona,2,n/a,,,,,Party Votes:,LIB,164,,,,,,,,,,,
105,,,,n/a,,,,,,,,,,,,,,,,,,
106,AZ,Arizona,2,n/a,,,,,District Votes:,,130255,,,,315679,,,,,,,
107,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
108,AZ,Arizona,3,H2AZ07070 ,(I),Raúl,Grijalva,Grijalva; Raúl,,D,35844,100.00%,,,148973,98.63%,,,,,W,
109,AZ,Arizona,3,n/a,,,,,Party Votes:,D,35844,,,,,,,,,,,
110,AZ,Arizona,3,H6AZ03245,,Bill,Abatecola,Abatecola; Bill,,W,,,,,1303,0.86%,,,,,,
111,AZ,Arizona,3,H2AZ07161,,Jaime,Vasquez,Vasquez; Jaime,,W,,,,,332,0.22%,,,,,,
112,AZ,Arizona,3,H6AZ03211 ,,Harvey,Martin,Martin; Harvey,,W,,,,,283,0.19%,,,,,,
113,AZ,Arizona,3,H4AZ03075,,Federico,Sanchez,Sanchez; Federico,,W,,,,,144,0.10%,,,,,,
114,AZ,Arizona,3,H6AZ03237 ,,Mike,Ross,Ross; Mike,,W(LIB),77,100.00%,,,,,,,,,,
115,AZ,Arizona,3,n/a,,,,,Party Votes:,LIB,77,,,,,,,,,,,
116,AZ,Arizona,3,n/a,,,,,District Votes:,,35921,,,,151035,,,,,,,
117,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
118,AZ,Arizona,4,H0AZ01259,(I),Paul,Gosar,Gosar; Paul,,R,64947,71.42%,,,203487,71.45%,,,,,W,
119,AZ,Arizona,4,H6AZ04177 ,,Ray,Strauss,Strauss; Ray,,R,25991,28.58%,,,,,,,,,,
120,AZ,Arizona,4,n/a,,,,,Party Votes:,R,90938,,,,,,,,,,,
121,AZ,Arizona,4,H2AZ04143 ,,Mikel,Weisser,Weisser; Mikel,,D,24097,99.80%,,,81296,28.55%,,,,,,
122,AZ,Arizona,4,H6AZ04185 ,,Robert,Hixon,Hixon; Robert,,W(D),49,0.20%,,,,,,,,,,
123,AZ,Arizona,4,n/a,,,,,Party Votes:,D,24146,,,,,,,,,,,
124,AZ,Arizona,4,H6AZ04193,,Jeffery,Daniels,Daniels; Jeffery,,W(LIB),130,100.00%,,,,,,,,,,
125,AZ,Arizona,4,n/a,,,,,Party Votes:,LIB,130,,,,,,,,,,,
126,AZ,Arizona,4,n/a,,,,,District Votes:,,115214,,,,284783,,,,,,,
127,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
128,AZ,Arizona,5,H6AZ05083,,Andy,Biggs,Biggs; Andy,,R,25244,29.49%,,,205184,64.10%,,,,,W,
129,AZ,Arizona,5,H6AZ05125,,Christine,Jones,Jones; Christine,,R,25217,29.46%,,,,,,,,,,
130,AZ,Arizona,5,H6AZ05117,,Don,Stapley,Stapley; Don,,R,17745,20.73%,,,,,,,,,,
131,AZ,Arizona,5,H6AZ05091,,Justin,Olson,Olson; Justin,,R,17386,20.31%,,,,,,,,,,
132,AZ,Arizona,5,n/a,,,,,Party Votes:,R,85592,,,,,,,,,,,
133,AZ,Arizona,5,H6AZ05133,,Talia,Fuentes,Fuentes; Talia,,D,16408,65.45%,,,114940,35.90%,,,,,,
134,AZ,Arizona,5,H6AZ05141,,Kinsey,Remaklus,Remaklus; Kinsey,,D,8663,34.55%,,,,,,,,,,
135,AZ,Arizona,5,n/a,,,,,Party Votes:,D,25071,,,,,,,,,,,
136,AZ,Arizona,5,H6AZ05158 ,,Nolan,Daniels,Daniels; Nolan,,W(LIB),143,100.00%,,,,,,,,,,
137,AZ,Arizona,5,n/a,,,,,Party Votes:,LIB,143,,,,,,,,,,,
138,AZ,Arizona,5,n/a,,,,,District Votes:,,110806,,,,320124,,,,,,,
139,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
140,AZ,Arizona,6,H4AZ06045 ,(I),David,Schweikert,Schweikert; David,,R,63378,80.31%,,,201578,62.13%,,,,,W,
141,AZ,Arizona,6,H6AZ06081,,Russ,Wittenberg,Wittenberg; Russ,,R,15535,19.69%,,,,,,,,,,
142,AZ,Arizona,6,n/a,,,,,Party Votes:,R,78913,,,,,,,,,,,
143,AZ,Arizona,6,H2AZ05132,,W. John,Williamson,Williamson; W. John,,D,17561,58.82%,,,122866,37.87%,,,,,,
144,AZ,Arizona,6,H6AZ06057,,Brian,Sinuk,Sinuk; Brian,,D,12293,41.18%,,,,,,,,,,
145,AZ,Arizona,6,n/a,,,,,Party Votes:,D,29854,,,,,,,,,,,
146,AZ,Arizona,6,H8AZ03134,,Michael,Shoen,Shoen; Michael,,W(LIB),161,100.00%,,,,,,,,,,
147,AZ,Arizona,6,n/a,,,,,Party Votes:,LIB,161,,,,,,,,,,,
148,AZ,Arizona,6,n/a,,,,,District Votes:,,108928,,,,324444,,,,,,,
149,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
150,AZ,Arizona,7,H4AZ07043,(I),Ruben,Gallego,Gallego; Ruben,,D,29705,100.00%,,,119465,75.22%,,,,,W,
151,AZ,Arizona,7,n/a,,,,,Party Votes:,D,29705,,,,,,,,,,,
152,AZ,Arizona,7,H6AZ07030 ,,Eve,Nunez,Nunez; Eve,,R,10912,100.00%,,,39286,24.74%,,,,,,
153,AZ,Arizona,7,n/a,,,,,Party Votes:,R,10912,,,,,,,,,,,
154,AZ,Arizona,7,H6AZ07048,,Neil B.,Westbrooks,Westbrooks; Neil B.,,W,,,,,60,0.04%,,,,,,
155,AZ,Arizona,7,H6AZ07022,,Joe,Cobb,Cobb; Joe,,W(LIB),127,100.00%,,,,,,,,,,
156,AZ,Arizona,7,n/a,,,,,Party Votes:,LIB,127,,,,,,,,,,,
157,AZ,Arizona,7,n/a,,,,,District Votes:,,40744,,,,158811,,,,,,,
158,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
159,AZ,Arizona,8,H4AZ04024 ,(I),Trent,Franks,Franks; Trent,,R,59042,71.06%,,,204942,68.55%,,,,,W,
160,AZ,Arizona,8,H4AZ08066,,Clair,Van Steenwyk,Van Steenwyk; Clair,,R,24042,28.94%,,,,,,,,,,
161,AZ,Arizona,8,n/a,,,,,Party Votes:,R,83084,,,,,,,,,,,
162,AZ,Arizona,8,H2AZ06197,,Mark,Salazar,Salazar; Mark,,W(GRE)/GRE,27,100.00%,,,93954,31.43%,,,,,,
163,AZ,Arizona,8,n/a,,,,,Party Votes:,GRE,27,,,,,,,,,,,
164,AZ,Arizona,8,H6AZ08194,,Joe,DeVivo,DeVivo; Joe,,W(D),640,100.00%,,,,,,,,,,
165,AZ,Arizona,8,n/a,,,,,Party Votes:,D,640,,,,,,,,,,,
166,AZ,Arizona,8,H6AZ08202,,Hayden III,Keener,Keener; Hayden; III,,W,,,,,75,0.03%,,,,,,
167,AZ,Arizona,8,n/a,,,,,District Votes:,,83751,,,,298971,,,,,,,
168,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
169,AZ,Arizona,9,H2AZ09019 ,(I),Kyrsten,Sinema,Sinema; Kyrsten,,D,38948,100.00%,,,169055,60.92%,,,,,W,
170,AZ,Arizona,9,n/a,,,,,Party Votes:,D,38948,,,,,,,,,,,
171,AZ,Arizona,9,H6AZ09010,,Dave,Giles,Giles; Dave,,R,25963,60.69%,,,108350,39.04%,,,,,,
172,AZ,Arizona,9,H6AZ09036 ,,John,Agra,Agra; John,,R,16817,39.31%,,,,,,,,,,
173,AZ,Arizona,9,n/a,,,,,Party Votes:,R,42780,,,,,,,,,,,
174,AZ,Arizona,9,H6AZ09051,,Mike,Shipley,Shipley; Mike,,W(LIB),210,100.00%,,,,,,,,,,
175,AZ,Arizona,9,n/a,,,,,Party Votes:,LIB,210,,,,,,,,,,,
176,AZ,Arizona,9,H6AZ09069,,Cary,Dolego,Dolego; Cary,,W,,,,,56,0.02%,,,,,,
177,AZ,Arizona,9,H6AZ09077,,Axel,Bello,Bello; Axel,,W,,,,,46,0.02%,,,,,,
178,AZ,Arizona,9,n/a,,,,,District Votes:,,81938,,,,277507,,,,,,,
179,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
180,AZ,Arizona,H,n/a,,,,,Total State Votes:,,823608,,,,2412064,,,,,,,
181,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
182,,,,n/a,,,,,,,,,,,,,,,,,,
183,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
184,AR,Arkansas,1,H0AR01083,(I),Rick ,Crawford,Crawford; Rick ,,R,Unopposed,,,,183866,76.28%,,,,,W,
185,AR,Arkansas,1,H6AR01114,,Mark ,West,West; Mark ,,LIB,,,,,57181,23.72%,,,,,,
186,AR,Arkansas,1,n/a,,,,,District Votes:,,,,,,241047,,,,,,,
187,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
188,AR,Arkansas,2,H4AR02141,(I),French,Hill,Hill; French,,R,86474,84.54%,,,176472,58.34%,,,,,W,
189,AR,Arkansas,2,H6AR02252 ,,Brock,Olree,Olree; Brock,,R,15811,15.46%,,,,,,,,,,
190,AR,Arkansas,2,n/a,,,,,Party Votes:,R,102285,,,,,,,,,,,
191,AR,Arkansas,2,H6AR02245 ,,Dianne ,Curry,Curry; Dianne ,,D,Unopposed,,,,111347,36.81%,,,,,,
192,AR,Arkansas,2,H2AR02061,,Chris,Hayes,Hayes; Chris,,LIB,,,,,14342,4.74%,,,,,,
193,AR,Arkansas,2,n/a,,,Scattered,Scattered,,W,,,,,303,0.10%,,,,,,
194,AR,Arkansas,2,n/a,,,,,District Votes:,,102285,,,,302464,,,,,,,
195,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
196,AR,Arkansas,3,H0AR03055,(I),Steve,Womack,Womack; Steve,,R,Unopposed,,,,217192,77.32%,,,,,W,
197,AR,Arkansas,3,H6AR03110,,Steve,Isaacson,Isaacson; Steve,,LIB,,,,,63715,22.68%,,,,,,
198,AR,Arkansas,3,n/a,,,,,District Votes:,,,,,,280907,,,,,,,
199,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
200,AR,Arkansas,4,H4AR04048,(I),Bruce,Westerman,Westerman; Bruce,,R,Unopposed,,,,182885,74.90%,,,,,W,
201,AR,Arkansas,4,H6AR04076,,Kerry,Hicks,Hicks; Kerry,,LIB,,,,,61274,25.10%,,,,,,
202,AR,Arkansas,4,n/a,,,,,District Votes:,,,,,,244159,,,,,,,
203,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
204,AR,Arkansas,H,n/a,,,,,Total State Votes:,,102285,,,,1068577,,,,,,,
205,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
206,,,,n/a,,,,,,,,,,,,,,,,,,
207,CA,California,1,H2CA02142,(I),Doug,La Malfa,La Malfa; Doug,,R,86136,40.79%,,,185448,59.05%,,,,,W,
208,CA,California,1,H6CA01194,,Jim,Reed,Reed; Jim,,D,59665,28.26%,,,128588,40.95%,,,,,,
209,CA,California,1,H6CA01186,,Joe,Montes,Montes; Joe,,R,35875,16.99%,,,,,,,,,,
210,CA,California,1,H6CA01202 ,,David,Peterson,Peterson; David,,D,13430,6.36%,,,,,,,,,,
211,CA,California,1,H2CA01151,,Gary Allen,Oxley,Oxley; Gary Allen,,R,6885,3.26%,,,,,,,,,,
212,CA,California,1,H4CA04110,,Jeff,Gerlach,Gerlach; Jeff,,NOP,4958,2.35%,,,,,,,,,,
213,CA,California,1,H2CA01136,,Gregory,Cheadle,Cheadle; Gregory,,R,4217,2.00%,,,,,,,,,,
214,CA,California,1,n/a,,,,,District Votes:,,211166,,,,314036,,,,,,,
215,CA,California,1,n/a,,,,,,,,,,,,,,,,,,
216,CA,California,2,H2CA06259 ,(I),Jared W.,Huffman,Huffman; Jared W.,,D,157897,68.30%,,,254194,76.85%,,,,,W,
217,CA,California,2,H4CA02098 ,,Dale K.,Mensing,Mensing; Dale K.,,R,36187,15.65%,,,76572,23.15%,,,,,,
218,CA,California,2,H6CA02234,,Erin A.,Schrode,Schrode; Erin A.,,D,20998,9.08%,,,,,,,,,,
219,CA,California,2,H6CA02242,,Matthew Robert ,Wookey,Wookey; Matthew Robert ,,NOP,16092,6.96%,,,,,,,,,,
220,CA,California,2,H6CA02226,,Andrew Augustine ,Caffrey,Caffrey; Andrew Augustine ,,W(D),6,0.00%,,,,,,,,,,
221,CA,California,2,n/a,,,,,District Votes:,,231180,,,,330766,,,,,,,
222,CA,California,2,n/a,,,,,,,,,,,,,,,,,,
223,CA,California,3,H0CA10149 ,(I),John G.,Garamendi,Garamendi; John G.,,D,98430,63.11%,,,152513,59.35%,,,,,W,
224,CA,California,3,H6CA03117 ,,N. Eugene,Cleek,Cleek; N. Eugene,,R,37843,24.26%,,,104453,40.65%,,,,,,
225,CA,California,3,H6CA03125 ,,Ryan ,Detert,Detert; Ryan ,,R,19699,12.63%,,,,,,,,,,
226,CA,California,3,n/a,,,,,District Votes:,,155972,,,,256966,,,,,,,
227,CA,California,3,n/a,,,,,,,,,,,,,,,,,,
228,CA,California,4,H8CA04152 ,(I),Tom,McClintock,McClintock; Tom,,R,135626,61.46%,,,220133,62.72%,,,,,W,
229,CA,California,4,H6CA04156,,Robert W.,Derlet,Derlet; Robert W.,,D,60574,27.45%,,,130845,37.28%,,,,,,
230,CA,California,4,H6CA04164 ,,Sean,White,White; Sean,,D,24460,11.08%,,,,,,,,,,
231,CA,California,4,n/a,,,,,District Votes:,,220660,,,,350978,,,,,,,
232,CA,California,4,n/a,,,,,,,,,,,,,,,,,,
233,CA,California,5,H8CA01109 ,(I),Mike ,Thompson,Thompson; Mike ,,D,124634,65.70%,,,224526,76.87%,,,,,W,
234,CA,California,5,H6CA05336 ,,Carlos,Santamaria,Santamaria; Carlos,,R,36430,19.20%,,,67565,23.13%,,,,,,
235,CA,California,5,H6CA05344,,Nils ,Palsson,Palsson; Nils ,,D,23639,12.46%,,,,,,,,,,
236,CA,California,5,H6CA05351 ,,Alex,Poling,Poling; Alex,,D,4998,2.63%,,,,,,,,,,
237,CA,California,5,n/a,,,,,District Votes:,,189701,,,,292091,,,,,,,
238,CA,California,5,n/a,,,,,,,,,,,,,,,,,,
239,CA,California,6,H6CA05195,(I),Doris,Matsui,Matsui; Doris,,D,99599,70.38%,,,177565,75.43%,,,,,W,
240,CA,California,6,H6CA06227 ,,Robert (Bob),Evans,Evans; Robert (Bob),,R,26000,18.37%,,,57848,24.57%,,,,,,
241,CA,California,6,H6CA06219,,Jrmar,Jefferson,Jefferson; Jrmar,,D,7631,5.39%,,,,,,,,,,
242,CA,California,6,H6CA06235 ,,Mario,Galván,Galván; Mario,,NOP,6354,4.49%,,,,,,,,,,
243,CA,California,6,H6CA28163 ,,Yuriy,Seretskiy,Seretskiy; Yuriy,,NOP,1930,1.36%,,,,,,,,,,
244,CA,California,6,n/a,,,,,District Votes:,,141514,,,,235413,,,,,,,
245,CA,California,6,n/a,,,,,,,,,,,,,,,,,,
246,CA,California,7,H0CA03078 ,(I),Ami,Bera,Bera; Ami,,D,93506,54.00%,,,152133,51.17%,,,,,W,
247,CA,California,7,H6CA07126 ,,Scott R.,Jones,Jones; Scott R.,,R,79640,46.00%,,,145168,48.83%,,,,,,
248,CA,California,7,n/a,,,,,District Votes:,,173146,,,,297301,,,,,,,
249,CA,California,7,n/a,,,,,,,,,,,,,,,,,,
250,CA,California,8,H2CA08164 ,(I),Paul ,Cook,Cook; Paul ,,R,50425,41.99%,,,136972,62.26%,,,,,W,
251,CA,California,8,H8CA41139 ,,Rita,Ramirez,Ramirez; Rita,,D,26325,21.92%,,,83035,37.74%,,,,,,
252,CA,California,8,H6CA08207,,Tim,Donnelly,Donnelly; Tim,,R,24886,20.73%,,,,,,,,,,
253,CA,California,8,H6CA08215,,John,Pinkerton,Pinkerton; John,,D,11780,9.81%,,,,,,,,,,
254,CA,California,8,H6CA08199,,Roger,LaPlante,LaPlante; Roger,,D,6661,5.55%,,,,,,,,,,
255,CA,California,8,n/a,,,,,District Votes:,,120077,,,,220007,,,,,,,
256,CA,California,8,n/a,,,,,,,,,,,,,,,,,,
